"","Date","Year","Month","CD_UF","PopTotal_UF","cases_total","time","state_index","year_index","base.fit","base.fit.lci","base.fit.uci","pred.uci","pred.mean","pred.median","pred.lci","state_code"
"39","2001-02-01",2001,2,25,3766528,291,2,12,1,1183.08510233767,749.863298093622,1866.91163505041,3747.275,1372.142,1137,231.9,25
"40","2001-02-01",2001,2,26,8796448,1050,2,13,1,1612.31877653603,1025.91249113819,2534.38172784235,4595.7,1762.179,1518.5,251.9,26
"41","2001-02-01",2001,2,27,3120494,190,2,14,1,135.743766736986,87.5660120868309,210.467233046852,360.3,133.769,112.5,21,27
"42","2001-02-01",2001,2,28,2068017,225,2,15,1,235.692933915037,150.844339343333,368.327233808749,710.025,241.916,199,39,28
"43","2001-02-01",2001,2,29,14016906,3663,2,16,1,3965.65153644576,2556.39118593846,6152.82194462632,11510.65,4199.799,3475.5,633.1,29
"44","2001-02-01",2001,2,31,19597330,4573,2,17,1,5260.74306099086,3381.44468755373,8185.9372907329,14930.3,5403.193,4576,846.775,31
"45","2001-02-01",2001,2,32,3514952,1197,2,18,1,1077.73005578414,695.559884648427,1670.14890973433,3045.525,1078.835,878,170.975,32
"46","2001-02-01",2001,2,33,15989929,6069,2,19,1,8246.24725961568,5278.2427787744,12885.2077462606,25149.025,9018.727,7625,1265.475,33
"47","2001-02-01",2001,2,35,41262199,3130,2,20,1,6769.36652491994,4307.16884544099,10641.0004431938,21792.05,7752.175,6324.5,1148.8,35
"48","2001-02-01",2001,2,41,10444526,271,2,21,1,210.375363252523,133.560679329437,331.440454246206,561.475,203.054,177,25,41
"49","2001-02-01",2001,2,42,6248436,2,2,22,1,9.97315554303369,5.52816346256124,17.9976924084989,35.025,11.782,10,1,42
"50","2001-02-01",2001,2,43,10693929,4,2,23,1,17.5112831764882,9.92740660848428,30.8988575744803,70,22.076,17.5,2,43
"51","2001-02-01",2001,2,50,2449024,534,2,24,1,1959.24794313928,1237.90876843312,3101.4224827143,6642.675,2349.2,1991,397.85,50
"52","2001-02-01",2001,2,51,3035122,147,2,25,1,629.942399272333,398.679907217066,995.539147269597,2110.625,745.53,636,118.9,51
"53","2001-02-01",2001,2,52,6003788,1573,2,26,1,2071.10102899149,1334.42856132762,3214.96447062724,6226.975,2242.187,1849,377.95,52
