"","Date","Year","Month","CD_UF","Pop0_19_UF","cases0_19","time","state_index","year_index","base.fit","base.fit.lci","base.fit.uci","pred.mean","pred.median","pred.lci","pred.uci","state_code"
"41","2001-02-01",2001,2,27,1223353,34,2,14,1,35.6660412355729,22.5044499478512,56.536415897969,36.887,32,5.975,109.025,27
"42","2001-02-01",2001,2,28,758267,45,2,15,1,57.7394596412378,36.2219379523221,92.0546042287288,62.66,54.5,8,177.025,28
"43","2001-02-01",2001,2,29,4917375,1032,2,16,1,1045.74327861137,668.943790469561,1635.06947073715,1039.214,875.5,158.75,2791.925,29
"44","2001-02-01",2001,2,31,6113296,974,2,17,1,1096.159843159,697.870761782392,1722.08792651371,1201.154,987,187.95,3248.775,31
"45","2001-02-01",2001,2,32,1113171,233,2,18,1,225.419229826414,143.637324846801,353.825817219371,242.766,205,34.975,701.225,32
"46","2001-02-01",2001,2,33,4655915,1423,2,19,1,1775.58702337951,1127.89291725366,2795.668989163,1925.584,1594,308.725,5354.025,33
"47","2001-02-01",2001,2,35,12164826,718,2,20,1,1220.23774128931,771.112075344916,1931.31680212473,1319.935,1116,199.675,3879.75,35
"48","2001-02-01",2001,2,41,3320131,51,2,21,1,38.9849185756048,23.8936694399163,63.6217390257441,37.891,31,5,107,41
"49","2001-02-01",2001,2,42,1907499,0,2,22,1,1.41747779757796,0.531560185969022,3.77840979051038,2.043,1,0,8,42
"50","2001-02-01",2001,2,43,3105241,1,2,23,1,2.83963854142028,1.25604900846847,6.42183329784729,3.568,3,0,13,43
"51","2001-02-01",2001,2,50,837704,121,2,24,1,453.074065966986,282.643265086728,726.387414192663,516.742,430,62.975,1494.2,50
"52","2001-02-01",2001,2,51,1064017,15,2,25,1,149.291829014977,92.642958515052,240.630821944664,171.554,143,22,496.125,51
"53","2001-02-01",2001,2,52,1975139,337,2,26,1,475.152992455695,302.774533062731,745.798723286305,497.936,421.5,67.95,1400.9,52
"54","2001-02-01",2001,2,53,829238,49,2,27,1,49.9568994104578,31.0090862688026,80.5005027719082,51.73,44,6,137.05,53
"55","2001-03-01",2001,3,11,580275,37,3,1,1,54.2270202872537,33.795549668848,87.0275187244421,57.395,49,6,167.1,11
"56","2001-03-01",2001,3,12,324213,55,3,2,1,64.4984192039292,40.4183560406962,102.940720519625,67.437,58,7,186.025,12
"57","2001-03-01",2001,3,13,1520807,853,3,3,1,586.244157509977,374.218892469351,918.544660379305,570.912,493.5,81.95,1552.1,13
"58","2001-03-01",2001,3,14,195868,36,3,4,1,81.0096338829653,50.7628657060458,129.301370987223,93.849,76,9,307.05,14
"59","2001-03-01",2001,3,15,3141578,1254,3,5,1,786.378412927705,508.004439503183,1217.51400434413,766.78,639,112,2218.275,15
"60","2001-03-01",2001,3,16,295134,27,3,6,1,144.129385734399,89.7972183631054,231.381154629999,168.499,140.5,22.975,482.225,16
"61","2001-03-01",2001,3,17,537291,161,3,7,1,204.408616343823,129.943742405926,321.597529607486,215.509,183.5,34.95,590.225,17
"62","2001-03-01",2001,3,21,2716327,379,3,8,1,341.201415447199,217.672462132634,534.941958912299,346.07,288,54.975,1042.35,21
"63","2001-03-01",2001,3,22,1131904,332,3,9,1,382.149471434903,243.996397744628,598.630073775642,385.732,320,52,1102.3,22
"64","2001-03-01",2001,3,23,3035091,1008,3,10,1,1185.74740981406,756.934057620457,1857.81126123925,1235.608,1007.5,159,3404.425,23
"65","2001-03-01",2001,3,24,1083280,1344,3,11,1,1242.56328467117,798.129436903433,1934.79413164456,1242.932,1081.5,202.725,3273.075,24
