Date,Year,Month,CD_UF,area_km2,NDVI_d,dewpoint_temperature_2m_d,humidity_d,max_temperature_2m_d,min_temperature_2m_d,surface_pressure_d,temperature_2m_d,total_precipitation_d,u_component_of_wind_10m_d,v_component_of_wind_10m_d,max_elevation_d,mean_elevation_d,min_elevation_d,stdDev_elevation_d,variance_elevation_d,Pop0_19_Urban_UF,PopTotal_Urban_UF,Pop0_19_Rural_UF,PopTotal_Rural_UF,Pop0_19_UF,PopTotal_UF,cases_total,cases0_19,cases20_99,Forest_Cover_Percent,Urban_Cover_Percent,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,t_sem_agua_esgoto,t_sem_lixo,t_vulner_mais1h,t_analf_15m,t_cdom_fundin,t_p15a24_nada,t_vulner,t_desocup18m,t_p18m_fundin_informal,idhm,idhm_long,idhm_educ,idhm_renda,idhm_educ_sub_esc,t_pop18m_fundc,idhm_educ_sub_freq,renda_per_capita,pea10a14,pea15a17,pea18m,t_eletrica,t_densidadem2,rdpc_def_vulner,t_analf_18m,t_formal_18m,t_fundc_ocup18m,t_medioc_ocup18m
2001-01-01,2001,1,24,52809.60099999999,0.20796219876408237,292.84889099831474,65.14649117707457,305.95721513492583,295.4471918207125,99854.07238670072,300.1218603472364,0.3937480178806403,-3.8823534206481534,2.003319687231546,263.64504879535434,116.81445329637494,44.94076281546843,36.666347684099755,2079.52100780403,814504,2464991,268776,703036,1083280,3168027,2001,421,1580,98.02433057948437,0.5997339423576505,0.349,0.217,0.42,0.411,9.4,2.49,5.87,18.54,35.73,17.86,47.7,9.69,43.98,0.684,0.792,0.597,0.678,0.486,48.6,0.661,545.42,16728,40250,1323245,99.36,29.67,137.59,19.74,50.51,57.43,42.26
2001-01-01,2001,1,25,56467.24199999998,0.2525909295051385,291.48570538916414,63.017878065065936,305.7367361470581,294.1490913056577,98147.5228585059,299.3398296309253,0.26205038668582364,-3.0080466566388187,1.610834022141691,464.89820412857677,270.41968754241134,158.4870554526609,51.09219250103014,3576.7038085477166,953958,2838678,351900,927850,1305858,3766528,45,23,22,97.69955672656812,0.5704458637734403,0.385,0.225,0.469,0.462,11.75,3.5,5.19,21.91,44.28,18.98,53.65,8.52,50.86,0.658,0.783,0.555,0.656,0.426,42.55,0.634,474.94,30076,52956,1539820,99.43,28.94,131.16,23.39,40.79,49.69,36.25
2001-01-01,2001,1,26,98049.27099999996,0.2520688790011499,291.98900928377316,67.26828167787075,304.56260760351023,293.79188390528606,98117.52724759559,298.59788523979023,0.4145438386067347,-2.607432851570116,1.5956714511183285,506.8132069597074,280.94740606521015,166.81425405893094,59.37202133025209,4850.671632160412,2362672,7052210,707695,1744238,3070367,8796448,899,232,667,97.10172555238339,0.9343770874117262,0.414,0.318,0.46,0.463,10.83,5.26,9.17,18.0,40.86,18.87,51.86,10.93,45.88,0.673,0.789,0.574,0.673,0.47,47.01,0.635,525.64,66893,120862,3655511,99.47,29.89,133.58,19.12,46.53,54.54,39.72
2001-01-01,2001,1,27,27830.656,0.24159253481981527,293.040270297118,71.16056083675194,304.25671523092,294.1727693792819,99419.96597855946,298.698634902854,0.5011910010991966,-2.77780464763972,0.6478770023490981,379.97747696358334,158.17474779471758,58.377811974642476,49.41467348413754,3063.145548987723,861779,2297860,361574,822634,1223353,3120494,165,46,119,97.50086087950946,0.8078206838770449,0.461,0.324,0.563,0.495,13.07,3.84,9.05,24.33,49.55,21.65,59.76,10.53,51.13,0.631,0.755,0.52,0.641,0.406,40.57,0.589,432.56,30470,47855,1182876,98.98,35.04,124.47,26.09,45.09,47.95,33.63
2001-01-01,2001,1,28,21938.184,0.24983350292791418,293.7333038442112,72.93388076167432,304.0033876261432,294.77812868052797,100233.03368055812,298.9728917422137,0.5791262303249962,-3.238708188504456,0.826526304242105,261.98370903140545,95.27876001476845,22.97520329861892,35.10880972842931,1920.4289521998585,531495,1520366,226772,547651,758267,2068017,229,50,179,97.51239530559155,0.9925772834564399,0.393,0.28,0.467,0.431,11.02,2.86,8.06,18.4,42.28,16.39,52.13,10.14,45.5,0.665,0.781,0.56,0.672,0.469,46.89,0.612,523.53,15587,30652,884906,99.18,29.14,133.51,19.72,46.69,52.57,37.92
2001-01-01,2001,1,29,564760.4269999996,0.28969296265919137,292.5188386154837,71.98780646554044,303.9969388243958,293.23309629369726,97809.69928028023,297.9957209829868,0.54203387182051,-2.345987819482297,0.6152190580126897,611.2522851333954,316.16689226287735,177.13816444228135,70.67178731313653,7455.623889192866,3393723,10102476,1523652,3914430,4917375,14016906,2125,560,1565,98.5129995430533,0.2601847872995635,0.403,0.276,0.455,0.478,9.35,4.65,7.95,16.58,40.68,17.67,52.71,10.62,47.15,0.66,0.783,0.555,0.663,0.461,46.07,0.609,496.73,136029,235457,6209932,96.45,27.91,129.67,17.73,42.91,52.7,37.81
2001-01-01,2001,1,31,586513.9929999999,0.33915979310197664,291.00311239279864,73.18132590577211,302.9315822112008,289.9132773102299,92596.85263601154,296.09168178241214,1.2583035488670058,-1.0767829871049055,-0.5618150099438797,1219.0634021063074,790.4408364699843,579.6918517981786,109.58219854298547,14681.45476727509,5124650,16715216,988646,2882114,6113296,19597330,2627,575,2052,98.90658067754822,0.8935634401430369,0.282,0.228,0.323,0.295,1.84,2.15,8.97,8.31,30.52,9.73,28.85,6.33,36.12,0.731,0.838,0.638,0.73,0.514,51.43,0.71,749.69,118305,337757,9517313,99.35,18.91,159.36,8.83,62.01,58.71,41.34
2001-01-01,2001,1,32,46074.44699999999,0.36489485590501775,293.93440288678426,77.92153012356624,304.91554850524255,293.55676131204564,99037.19752629363,298.054335860473,0.7791264722048586,-1.1831021149969958,-1.5307155176360323,848.862035100337,199.00172275758297,39.01488868126791,122.19618721393475,22256.51521616545,918979,2931472,194192,583480,1113171,3514952,884,166,718,98.36168545732527,1.708860502017973,0.274,0.217,0.319,0.285,0.99,2.07,8.76,8.12,28.87,9.4,26.82,6.75,33.44,0.74,0.835,0.653,0.743,0.552,55.23,0.711,815.43,23183,62171,1747518,99.83,20.59,162.91,8.62,61.16,61.43,44.46
2001-01-01,2001,1,33,43750.426,0.34487170714880816,294.48677356423565,76.2417873612091,306.6055153841911,293.609535218126,98861.07050742554,298.9959636270822,1.273504092405932,-0.6724901595405872,-0.577011242579157,1033.459321864406,179.95551125876483,-30.44846859545155,154.2975919453599,33212.34572211406,4481885,15464239,174030,525690,4655915,15989929,3148,723,2425,99.6083928953048,6.788112853219186,0.323,0.427,0.292,0.251,1.67,2.41,21.81,4.27,22.38,8.53,22.26,8.36,26.2,0.761,0.835,0.675,0.782,0.647,64.65,0.689,1039.3,52592,147268,7652683,99.92,30.33,168.38,4.47,66.94,70.93,52.53
2001-01-01,2001,1,35,248219.48100000023,0.32508938849289143,292.8164567776126,79.87420268023214,303.95197043851795,290.2764658501048,93877.00731101487,296.4958694536909,1.3329362409562562,-0.45098210026702584,-0.17129346085610367,1028.7807143288703,680.7678145890135,380.73395164906265,73.734072973831,9556.338064550037,11630147,39585251,534679,1676948,12164826,41262199,1417,283,1134,98.89990475749592,4.022964089757919,0.297,0.407,0.263,0.222,0.6,0.38,20.51,4.32,18.55,6.13,16.13,7.05,25.93,0.783,0.845,0.719,0.789,0.629,62.91,0.768,1084.46,166467,636032,20921411,99.91,28.66,173.37,4.53,71.44,70.76,52.58
2001-01-01,2001,1,41,199298.982,0.390818954536021,293.0526810186944,82.5825007849655,303.51712302443167,290.0378041286795,93719.09030362027,296.19082016597145,1.810648009297834,-0.7989762500291735,-0.6950556342125643,913.4890923724064,678.9164200668515,489.2922506009368,71.30001692742265,7015.011587010389,2801335,8912692,518796,1531834,3320131,10444526,54,9,45,99.21855352198648,1.767005148907808,0.252,0.217,0.298,0.241,0.97,0.82,9.13,6.28,25.51,6.35,19.7,4.52,31.55,0.749,0.83,0.668,0.757,0.555,55.53,0.733,890.89,77239,217986,5307494,99.6,16.85,166.68,6.69,65.63,63.07,44.9
2001-01-01,2001,1,42,95560.41099999998,0.3154804472764962,293.6109171037523,83.36722139199858,304.83419113657993,290.22468756890015,96972.9652839046,296.5997134898719,2.084366542114604,-0.564265497828084,-0.659835700013147,864.8237384523103,375.9523626569293,170.81200111515906,142.31739360312235,29327.427971001107,1589061,5247913,318438,1000523,1907499,6248436,1,0,1,99.42069382996938,2.333481858615684,0.192,0.128,0.253,0.194,0.78,0.69,5.28,4.13,22.69,3.75,12.36,3.4,26.87,0.774,0.86,0.697,0.773,0.589,58.87,0.759,983.9,45143,142653,3363169,99.81,13.15,172.86,4.37,72.15,65.84,46.22
2001-01-01,2001,1,43,268533.02199999976,0.3367392535167456,293.6400170386383,81.32401676278492,305.34729701778,287.867888875097,98688.72144151898,297.0421096899946,2.291333036600776,-0.8884467117612387,-0.49767733038812567,450.80164222148846,220.65643626482327,80.91710053433121,67.42313804124554,6569.658978140978,2655710,9100291,449531,1593638,3105241,10693929,11,3,8,99.60595910101924,1.424623314300878,0.234,0.17,0.3,0.231,0.89,0.76,7.1,4.52,27.02,6.03,18.65,4.56,30.8,0.746,0.84,0.642,0.769,0.563,56.29,0.686,959.24,67457,194857,5569515,99.71,16.25,164.45,4.75,66.38,62.95,43.64
2001-01-01,2001,1,50,352086.5610000001,0.3996967098872738,294.7824718523799,77.8183220606618,305.93046462075955,293.3654047913808,96672.44505731706,298.9503501056569,2.016652132399024,-0.36196384868587755,-1.2283367573931447,659.1494391235038,393.66477409729885,226.51650045079182,72.65779244596642,5956.018786831327,702472,2097238,135232,351786,837704,2449024,276,45,231,98.50670045110171,0.27943006788261043,0.289,0.224,0.369,0.273,3.93,1.36,8.32,7.67,31.01,9.08,26.83,5.69,33.9,0.729,0.833,0.629,0.74,0.536,53.6,0.682,799.34,15831,47677,1198287,98.63,24.97,158.74,8.21,59.39,60.31,43.09
2001-01-01,2001,1,51,903207.0499999998,0.3230381701254027,295.06742327198833,82.52894044699454,304.61170501441774,293.9514460665625,97358.33277529902,298.27285138184135,2.1948266832160437,-0.009418364753738608,-0.8379608020699831,643.4073101509593,330.73179909282896,191.27939239345238,76.18472973045398,7479.342402525187,859787,2482801,204230,552321,1064017,3035122,157,32,125,98.67178353628104,0.09514243361287446,0.277,0.185,0.359,0.288,5.16,2.89,5.77,8.48,28.56,8.69,27.0,5.75,34.94,0.725,0.821,0.635,0.732,0.532,53.2,0.693,762.52,25315,62379,1462454,98.01,26.58,153.35,9.07,57.26,59.68,41.34
2001-01-01,2001,1,52,340242.85400000017,0.37813136367399963,291.87419973659536,74.8734714506531,303.2095315020384,290.7740066542903,92712.35878878293,296.5899717907674,1.7553445782630193,-0.540461870596345,-0.5107051516803989,1030.4609085130921,766.3852338939571,597.9394117513809,75.26816681924585,6828.074377312934,1788402,5420714,186737,583074,1975139,6003788,743,175,568,98.97195491006275,0.6189790220629605,0.331,0.385,0.334,0.274,3.38,1.35,15.68,7.94,26.54,7.6,24.22,5.76,33.56,0.735,0.827,0.646,0.742,0.55,54.97,0.7,810.97,47561,121651,2999513,99.39,19.26,169.02,8.46,56.8,61.04,42.87
2001-01-01,2001,1,53,5760.7840000000015,0.26749534611085524,290.01110168002265,72.31621063081136,301.5179286786642,289.4449188154828,90024.69107304029,295.22477118547425,1.2477786441671066,-0.8945355284531752,-0.44426934212335506,1345.0,1034.5635178543582,734.0,113.28742885662999,12834.041536946,796905,2482210,32333,87950,829238,2570160,400,99,301,99.3852251067499,10.217211449211248,0.294,0.412,0.265,0.204,0.72,1.13,22.45,3.47,17.14,5.13,16.0,7.58,18.69,0.824,0.873,0.742,0.863,0.723,72.32,0.751,1715.11,10706,36652,1361053,99.91,23.48,171.62,3.66,71.62,76.39,61.0
2001-02-01,2001,2,11,237765.34699999998,0.21687332695393222,295.94406044612157,88.85694838408347,304.7387547402606,294.33256563392314,98783.09290201204,297.9079070373954,2.7957035915818857,-0.011419788513142837,-0.7061086860729511,499.5749256436695,197.73051198793806,94.78054529895822,49.347550913745934,2936.506225905438,423582,1149180,156693,413229,580275,1562409,275,68,207,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93
2001-02-01,2001,2,12,164173.43099999995,0.1672969145759804,295.80641669886944,88.3151634865016,304.69266838755493,294.43666181910953,98490.52105226088,297.8702639186779,2.194736344528104,0.10414504938728517,-0.8521206258944226,376.5254846576758,221.03575193104783,134.591442542454,32.614629283625916,1110.6190483548264,222201,532279,102012,201280,324213,733559,242,73,169,99.47359971761001,0.09622201115707561,0.443,0.36,0.564,0.405,28.09,6.37,5.04,16.48,41.14,17.41,50.97,7.46,43.75,0.663,0.777,0.559,0.671,0.488,48.8,0.599,522.15,9054,11629,283968,91.14,46.05,119.68,17.79,46.45,55.2,39.61
2001-02-01,2001,2,13,1559167.8779999998,0.17356565148999914,295.9677279001011,88.2971996563199,303.8029901835762,294.9971010063227,100205.46566831434,298.04036065409247,2.9168803546485362,-0.9708972866918109,-0.39164002350114946,225.84921203736525,73.23644733163516,-1.2478377490144188,32.67217403973415,1385.171272552527,1143830,2755490,376977,728495,1520807,3483985,6569,2075,4494,99.94362715224783,0.03548340111202974,0.488,0.515,0.516,0.433,20.98,7.02,14.12,9.84,33.69,17.09,51.78,9.55,39.68,0.674,0.805,0.561,0.677,0.549,54.87,0.567,539.8,43891,57371,1371781,92.18,57.95,117.5,10.47,44.56,60.21,44.01
2001-02-01,2001,2,14,223644.527,0.24268086023205981,290.8432427957727,54.88844435065117,307.8149998036094,295.4190999909965,99419.3805378913,300.911553091283,0.1678921730384808,-2.737985383582757,-1.4643241452143783,744.4676599797104,141.3412813073238,49.928329622468524,65.15235055449573,12694.573314144332,142324,344859,53544,105620,195868,450479,368,81,287,99.67382312761363,0.08342744554214587,0.366,0.245,0.483,0.37,12.44,3.32,5.88,10.33,28.92,15.71,45.72,7.6,35.56,0.707,0.809,0.628,0.695,0.587,58.74,0.65,605.59,5441,8041,184044,90.73,51.22,115.71,11.01,47.99,66.08,50.44
2001-02-01,2001,2,15,1240882.4709999992,0.13588758752063487,295.5193172778899,88.97967880792537,302.8035101623128,294.5469892151092,100122.37946774972,297.4555279161543,3.914513717734487,-0.8376175328198288,-0.7922656554861108,240.00480368750982,85.23887023346992,14.166811963143369,35.33005717101935,2730.5914495309544,2023361,5191559,1118217,2389492,3141578,7581051,3817,1125,2692,99.32298549359729,0.042289831910926654,0.469,0.457,0.494,0.457,29.05,8.08,8.59,11.74,40.81,18.4,55.99,9.03,46.68,0.646,0.789,0.528,0.646,0.474,47.35,0.557,446.76,88495,126117,2992002,91.89,49.4,122.69,12.58,37.38,52.11,34.22
2001-02-01,2001,2,16,142470.76199999996,0.09254331986220113,295.308835931496,91.14874785798213,302.4742326601578,294.3546621453429,100567.3338867115,296.84203684523266,3.9523287778677,-0.8816064922171979,-1.435404911842427,202.9764833628567,47.532481136414084,-7.485522593596066,29.766024436344384,1518.2972287230468,259566,601036,35568,68490,295134,669526,17,5,12,99.86216883371777,0.041913022896286796,0.404,0.373,0.451,0.388,21.51,3.62,8.5,8.4,24.29,16.02,45.22,11.49,32.55,0.708,0.813,0.629,0.694,0.618,61.75,0.634,598.98,6109,10381,280616,98.27,53.98,132.64,9.09,49.11,66.72,50.87
2001-02-01,2001,2,17,277423.63000000006,0.2791635494357259,294.98678988118417,84.00244569015598,303.5594431849046,293.7583500511386,97682.55038438177,297.8749482742503,3.0221370393042424,-0.09896888046665255,-0.3930570455989477,587.5561370347212,299.4218280338077,180.92446392881538,73.75689968828037,7767.269100846347,420392,1090106,116899,293339,537291,1383445,697,164,533,99.25492740873668,0.03065694360649091,0.336,0.212,0.418,0.378,8.07,5.65,5.27,13.09,30.3,14.32,44.71,6.9,40.72,0.699,0.793,0.624,0.69,0.526,52.55,0.68,586.62,11961,26098,594351,94.74,31.22,137.04,14.14,47.16,61.15,45.29
2001-02-01,2001,2,21,329651.49499999976,0.170329570930214,295.5521049322203,87.33310900019819,303.1775345165902,294.5735100848269,99926.69688431047,297.80225959770354,2.679117595537141,-0.6874967526148135,-0.7597077549278399,211.2221847727737,101.63754559409205,32.43830957921235,31.49335058592494,1546.5824176034332,1618690,4147149,1097637,2427640,2716327,6574789,975,329,646,99.51371184904801,0.10805893765496616,0.521,0.526,0.534,0.503,23.99,20.92,9.9,20.87,42.56,21.56,63.58,8.56,50.99,0.639,0.757,0.562,0.612,0.444,44.36,0.632,360.34,69132,100920,2424519,96.1,42.7,113.11,22.51,33.2,51.08,35.2
2001-02-01,2001,2,22,251755.4849999999,0.2273260769464228,294.8844462211857,83.4735357909519,304.4504330766239,294.12617670888284,98542.7515771655,297.9000057228613,2.2383971018946562,-0.33866796819720835,-0.3913474850502425,389.4001635475057,220.67607581761996,118.37551180748855,51.18343214453598,3640.8073919441676,711794,2050959,420110,1067401,1131904,3118360,952,253,699,99.41300746291189,0.07547420107572557,0.403,0.265,0.471,0.474,8.15,12.39,5.81,22.92,44.37,18.45,58.13,7.81,52.4,0.646,0.777,0.547,0.635,0.418,41.81,0.625,416.93,28190,44583,1250474,93.01,31.44,120.32,24.55,36.52,48.54,33.38
2001-02-01,2001,2,23,148894.4419999999,0.19883388471662455,294.30247846426784,73.48321995011788,305.56250123374645,295.4820474424138,98965.8552149733,299.48659396100385,1.0859412464644016,-2.3112531553965994,-0.41363470554156845,507.94047594399734,191.00574819087635,86.95849441713524,65.58484311972003,8477.525195146949,2199210,6346557,835881,2105824,3035091,8452381,3398,688,2710,98.57948908160004,0.4075654120595953,0.378,0.263,0.438,0.434,10.99,6.44,6.37,18.74,33.99,19.63,54.85,7.56,45.64,0.682,0.793,0.615,0.651,0.488,48.83,0.691,460.63,66645,127830,3462563,99.08,34.13,128.56,20.14,41.62,56.88,39.66
2001-02-01,2001,2,24,52809.60099999999,0.22017194864685422,293.4990367835162,65.65987561787742,306.54842346739713,296.0129222163784,99739.5072102917,300.6227450492713,0.4622568840295213,-3.557848245532496,1.140148555718845,263.64504879535434,116.81445329637494,44.94076281546843,36.666347684099755,2079.52100780403,814504,2464991,268776,703036,1083280,3168027,3838,892,2946,98.02433057948437,0.5997339423576505,0.349,0.217,0.42,0.411,9.4,2.49,5.87,18.54,35.73,17.86,47.7,9.69,43.98,0.684,0.792,0.597,0.678,0.486,48.6,0.661,545.42,16728,40250,1323245,99.36,29.67,137.59,19.74,50.51,57.43,42.26
2001-02-01,2001,2,25,56467.24199999998,0.23257293242992236,292.1617073550522,63.03407340170376,306.26909602191984,294.7762924395214,98025.95798202018,299.9932223653542,0.40221166884682236,-2.714265582890054,0.9594160384972168,464.89820412857677,270.41968754241134,158.4870554526609,51.09219250103014,3576.7038085477166,953958,2838678,351900,927850,1305858,3766528,291,64,227,97.69955672656812,0.5704458637734403,0.385,0.225,0.469,0.462,11.75,3.5,5.19,21.91,44.28,18.98,53.65,8.52,50.86,0.658,0.783,0.555,0.656,0.426,42.55,0.634,474.94,30076,52956,1539820,99.43,28.94,131.16,23.39,40.79,49.69,36.25
2001-02-01,2001,2,26,98049.27099999996,0.24348486243543493,292.6010359785692,66.8614614656551,305.12679543127115,294.45743689289066,97985.20624505621,299.32971952022996,0.45331765021028453,-2.397358458514604,1.0251534521884307,506.8132069597074,280.94740606521015,166.81425405893094,59.37202133025209,4850.671632160412,2362672,7052210,707695,1744238,3070367,8796448,1050,260,790,97.10172555238339,0.9343770874117262,0.414,0.318,0.46,0.463,10.83,5.26,9.17,18.0,40.86,18.87,51.86,10.93,45.88,0.673,0.789,0.574,0.673,0.47,47.01,0.635,525.64,66893,120862,3655511,99.47,29.89,133.58,19.12,46.53,54.54,39.72
2001-02-01,2001,2,27,27830.656,0.2096931042941284,293.6186877770318,69.89465344219143,305.82377970706017,295.38246777285775,99269.37887440628,299.6223956859888,0.38563901797539535,-2.7104986615483844,0.4433485027760479,379.97747696358334,158.17474779471758,58.377811974642476,49.41467348413754,3063.145548987723,861779,2297860,361574,822634,1223353,3120494,190,34,156,97.50086087950946,0.8078206838770449,0.461,0.324,0.563,0.495,13.07,3.84,9.05,24.33,49.55,21.65,59.76,10.53,51.13,0.631,0.755,0.52,0.641,0.406,40.57,0.589,432.56,30470,47855,1182876,98.98,35.04,124.47,26.09,45.09,47.95,33.63
