"","CD_MUN","Forest_Loss_Percent_2001","Forest_Loss_Percent_2002","Forest_Loss_Percent_2003","Forest_Loss_Percent_2004","Forest_Loss_Percent_2005","Forest_Loss_Percent_2006","Forest_Loss_Percent_2007","Forest_Loss_Percent_2008","Forest_Loss_Percent_2009","Forest_Loss_Percent_2010","Forest_Loss_Percent_2011","Forest_Loss_Percent_2012","Forest_Loss_Percent_2013","Forest_Loss_Percent_2014","Forest_Loss_Percent_2015","Forest_Loss_Percent_2016","Forest_Loss_Percent_2017","Forest_Loss_Percent_2018","Forest_Loss_Percent_2019","Forest_Loss_Percent_2020"
"4928",4115507,0.02472196,0.04723857,0.0407269,0.05768526,0.05219863,0.02943222,0.02276604,0.06749106,0.03335139,0.05965814,0.02686555,0.05927485,0.04042559,0.04944597,0.06529046,0.1044113,0.136775,0.1293975,0.1408275,0.2742892
"4929",4115606,0.04507368,0.05590478,0.1103131,0.05493112,0.04224271,0.04047422,0.04362789,0.04034254,0.03123711,0.04046813,0.05174265,0.04402602,0.04684382,0.1021318,0.1123681,0.2862781,0.5315294,0.1806927,0.2440595,0.2851023
"4930",4115739,0.1163381,0.1323368,0.0877487,0.1358868,0.08570614,0.04694669,0.02429436,0.02718437,0.01748776,0.01956313,0.1712946,0.08793902,0.1021184,0.1165499,0.04633058,0.1404036,0.5882193,0.1342384,0.2279159,0.2584377
"4931",4115754,0.2982846,0.08532351,0.4456246,0.2088969,0.3629867,0.1878693,0.5765034,0.4869006,0.5024831,0.1764488,0.5250221,0.4204637,0.6381496,0.5252261,0.5105936,1.728528,1.212457,1.018232,1.263899,2.176914
"4932",4115804,0.09520461,0.05906234,0.08242544,0.1038688,0.03922347,0.05758603,0.04686998,0.04747342,0.03196187,0.04431844,0.1110935,0.04207426,0.02460465,0.1050752,0.09101733,0.161215,0.4487723,0.327714,0.2583425,0.09349234
"4933",4115853,0.2292783,0.03633489,0.03659406,0.1176199,0.07309272,0.02477501,0.02642707,0.01486537,0.01269774,0.03757571,0.04500447,0.07085387,0.04914372,0.08369895,0.1229188,0.1057171,0.1379002,0.1899838,0.1960584,0.1429572
"4934",4116059,0.08539269,0.02895495,0.04118117,0.1062413,0.0329623,0.02596206,0.01720732,0.02994325,0.009735367,0.02317691,0.06040005,0.03738271,0.02533062,0.08663486,0.06688485,0.1475341,0.2142367,0.07877542,0.2023362,0.1627958
"4935",4116109,0.05008371,0.05054497,0.08719475,0.05774705,0.02261843,0.01777091,0.01614614,0.07432254,0.04476263,0.00646134,0.1418972,0.1245383,0.109374,0.1249622,0.1015548,0.2017215,0.126786,1.318423,0.9064727,0.6616231
"4936",4116604,0.2858442,0.01393963,0.008236698,0.04626037,0.06041842,0.02091139,0.03981264,0.04753447,0.05386849,0.04373184,0.01440524,0.01394202,0.03295741,0.03866056,0.004438662,0.04319687,0.1328198,0.1328616,0.2186745,0.06908467
"4937",4116703,0.04457086,0.05197848,0.06352101,0.02573795,0.01424764,0.05141146,0.05129493,0.02746133,0.03443954,0.005664197,0.07531182,0.04047432,0.09640371,0.1578492,0.0733414,0.1965239,0.2511775,0.025894,0.0258956,0.03261005
