CD_UF,distance,neighboringState
31,464943.70543829666,33
31,599888.7890840945,35
31,994054.7211157851,41
31,1142707.9293616058,42
31,1524378.201994457,43
31,1089750.4335894324,50
31,1351002.2428843707,51
31,589946.774916056,52
31,445262.0354669113,53
32,2564955.9892149717,11
32,3406281.3054994475,12
32,3112409.95337621,13
32,3296915.2507280647,14
32,2189087.6782185743,15
32,2632238.1875205226,16
32,1329568.0730326646,17
32,1680898.5916930477,21
32,1370953.0751631437,22
32,1605888.4180597614,23
32,1579405.3380494558,24
32,1438268.7692289997,25
32,1276703.7956605607,26
32,1194673.8628401298,27
32,1052938.5050067822,28
32,794010.2175213606,29
32,438833.75026291446,31
32,0.0,32
32,357044.6881515807,33
32,891229.9532665832,35
32,1261073.3393015156,41
32,1314070.9658022672,42
32,1700430.0887358054,43
32,1486608.2088730019,50
32,1786547.5794556069,51
32,1025647.171495221,52
32,864920.3702772219,53
33,2486147.0934726433,11
33,3300988.586852104,12
33,3100066.0717390636,13
33,3370490.372284436,14
33,2308075.9418912097,15
33,2804123.242946289,16
33,1465193.3262469275,17
33,1916240.5969861192,21
33,1639326.1405960086,22
33,1920713.8959614239,23
33,1920895.360877285,24
33,1781377.3953496192,25
33,1613688.1698336734,26
33,1544380.4950046116,27
33,1400223.8256958765,28
33,1081204.240960271,29
33,464943.70543829666,31
33,357044.6881515807,32
33,0.0,33
33,627121.6763894801,35
33,954666.8344624297,41
33,968902.6117730434,42
33,1351847.1146179498,43
33,1281849.4387357521,50
33,1739127.8912329983,51
33,999808.1135617681,52
33,892584.7254353336,53
35,1958260.6551344888,11
35,2734760.3426238815,12
35,2637911.4176738616,13
35,3023966.3376096,14
35,2076815.9153677328,15
35,2646293.762871474,16
35,1342558.9212217098,17
35,1938769.4159329284,21
35,1759250.832966786,22
35,2139114.897781382,23
35,2233175.7171737626,24
35,2107202.6595431683,25
35,1923774.30506404,26
35,1914474.1742738576,27
35,1766392.8828318354,28
35,1315242.1730022763,29
35,599888.7890840945,31
35,891229.9532665832,32
35,627121.6763894801,33
35,0.0,35
35,394275.2250691051,41
35,579517.2349265895,42
35,942237.3863964881,43
35,669277.9657724596,50
35,1281933.6081617842,51
35,695674.4377587023,52
35,724466.3448824973,53
41,1927695.389878466,11
41,2629586.5649778508,12
41,2661799.914567262,13
41,3138828.510435286,14
41,2291480.1295908,15
41,2885895.8796723364,16
41,1641820.6373683885,17
41,2268878.167330153,21
41,2120067.076918793,22
41,2515073.4094273415,23
41,2621954.342347205,24
41,2497771.610453613,25
41,2313725.38642057,26
41,2308225.4549119826,27
41,2160253.8032380478,28
41,1702815.2544465836,29
41,994054.7211157851,31
41,1261073.3393015156,32
41,954666.8344624297,33
41,394275.2250691051,35
41,0.0,41
41,311246.61595996754,42
41,585617.5309591896,43
41,582008.2820722627,50
41,1371163.121373303,51
41,975048.34155812,52
41,1058293.3714483036,53
42,2224654.1702669896,11
42,2899187.5505373897,12
42,2966445.624813252,13
42,3450073.1170541407,14
42,2590462.936788219,15
42,3179216.142909935,16
42,1907431.1711422808,17
42,2516025.787694648,21
42,2337592.4083573716,22
42,2709581.09645566,23
42,2784476.496443873,24
42,2653613.8624144783,25
42,2473066.935093816,26
42,2444129.1171670007,27
42,2295801.434802467,28
42,1874105.7260133924,29
42,1142707.9293616058,31
42,1314070.9658022672,32
42,968902.6117730434,33
42,579517.2349265895,35
42,311246.61595996754,41
42,0.0,42
42,388433.4444333983,43
42,887036.9786002563,50
42,1682351.282780549,51
42,1245094.9652621653,52
42,1299753.652291482,53
43,2303017.7470266195,11
43,2887510.3298344747,12
43,3068935.038912735,13
43,3620211.504603178,14
43,2847198.8667506007,15
43,3449566.7655374752,16
43,2226617.923929496,17
43,2854192.0140835214,21
43,2697330.6671201843,22
43,3081321.543354323,23
43,3166733.2470332263,24
43,3037232.754928377,25
43,2855740.160122858,26
43,2830801.16764688,27
43,2682394.326351749,28
43,2252709.4607538036,29
43,1524378.201994457,31
43,1700430.0887358054,32
43,1351847.1146179498,33
43,942237.3863964881,35
43,585617.5309591896,41
43,388433.4444333983,42
43,0.0,43
43,1050133.6289187877,50
43,1874650.7418876074,51
43,1559961.499888146,52
43,1641455.5707109536,53
50,1348263.338830544,11
50,2080863.5477676168,12
50,2080132.017818704,13
50,2578852.017814489,14
50,1818553.1798037933,15
50,2428283.5207603066,16
50,1325880.5317316242,17
50,1979635.1187235361,21
50,1921064.7873249936,22
50,2357128.0809605597,23
50,2534931.0882771662,24
50,2430640.6156660197,25
50,2247035.740881423,26
50,2293045.4065323756,27
50,2153525.289867531,28
50,1648161.145904574,29
50,1089750.4335894324,31
50,1486608.2088730019,32
50,1281849.4387357521,33
50,669277.9657724596,35
50,582008.2820722627,41
50,887036.9786002563,42
50,1050133.6289187877,43
50,0.0,50
50,824517.1559377094,51
50,729413.6140988651,52
50,899614.3586503272,53
51,787515.3984328646,11
51,1642971.6286668174,12
51,1366219.0147171586,13
51,1768032.2877780744,14
51,1039987.0317154739,15
51,1650088.7525489582,16
51,883735.4541774008,17
51,1457008.147090139,21
51,1546316.1337058821,22
51,1990100.8460492885,23
51,2253356.616169197,24
51,2187853.0260561076,25
51,2025296.0635167572,26
51,2139978.258964643,27
51,2029945.9380320832,28
51,1542515.5832824558,29
51,1351002.2428843707,31
51,1786547.5794556069,32
51,1739127.8912329983,33
51,1281933.6081617842,35
51,1371163.121373303,41
51,1682351.282780549,42
51,1874650.7418876074,43
51,824517.1559377094,50
51,0.0,51
51,761206.9541463696,52
51,930483.6385483944,53
52,1540698.5568659313,11
52,2387527.43233813,12
52,2105526.0648481124,13
52,2386321.8595777727,14
52,1386650.2358449625,15
52,1950633.4655416794,16
52,666772.5928748652,17
52,1301833.288178625,21
52,1199732.6618803274,22
52,1630068.1963307813,23
52,1806911.1216082398,24
52,1705652.366792143,25
52,1523347.7713731069,26
52,1582785.191357447,27
52,1448903.960319536,28
52,937946.1181405598,29
52,589946.774916056,31
52,1025647.171495221,32
52,999808.1135617681,33
52,695674.4377587023,35
52,975048.34155812,41
52,1245094.9652621653,42
52,1559961.499888146,43
52,729413.6140988651,50
52,761206.9541463696,51
52,0.0,52
52,196112.6047929406,53
53,1716444.363176847,11
53,2568065.571779205,12
53,2248399.036237962,13
53,2478242.6521676383,14
53,1427867.874249103,15
53,1959750.5607627467,16
53,626887.3378349696,17
53,1216472.5325415821,21
53,1067764.0735635369,22
53,1482476.769482175,23
53,1638483.767248509,24
53,1531565.7994564595,25
53,1347630.8883197415,26
53,1397067.1362912864,27
53,1260614.346397233,28
53,751247.3263288995,29
53,445262.0354669113,31
53,864920.3702772219,32
53,892584.7254353336,33
53,724466.3448824973,35
53,1058293.3714483036,41
53,1299753.652291482,42
53,1641455.5707109536,43
53,899614.3586503272,50
53,930483.6385483944,51
53,196112.6047929406,52
53,0.0,53
