"","Name","UF","Year","Month","date","totalcase","case0to19","time"
"10","11 Rondônia",11,2001,1,"2001-01-01",668,169,1
"32","12 Acre",12,2001,1,"2001-01-01",1280,315,1
"56","13 Amazonas",13,2001,1,"2001-01-01",7034,2099,1
"76","14 Roraima",14,2001,1,"2001-01-01",810,235,1
"92","15 Pará",15,2001,1,"2001-01-01",2464,726,1
"96","16 Amapá",16,2001,1,"2001-01-01",7,1,1
"126","17 Tocantins",17,2001,1,"2001-01-01",1103,263,1
"148","21 Maranhão",21,2001,1,"2001-01-01",1039,328,1
"166","22 Piauí",22,2001,1,"2001-01-01",441,117,1
"184","23 Ceará",23,2001,1,"2001-01-01",1846,385,1
"207","24 Rio Grande do Norte",24,2001,1,"2001-01-01",2001,421,1
"210","25 Paraíba",25,2001,1,"2001-01-01",45,23,1
"243","26 Pernambuco",26,2001,1,"2001-01-01",899,232,1
"252","27 Alagoas",27,2001,1,"2001-01-01",165,46,1
"279","28 Sergipe",28,2001,1,"2001-01-01",229,50,1
"295","29 Bahia",29,2001,1,"2001-01-01",2125,560,1
"312","31 Minas Gerais",31,2001,1,"2001-01-01",2627,575,1
"331","32 Espírito Santo",32,2001,1,"2001-01-01",884,166,1
"355","33 Rio de Janeiro",33,2001,1,"2001-01-01",3148,723,1
"368","35 São Paulo",35,2001,1,"2001-01-01",1417,283,1
"384","41 Paraná",41,2001,1,"2001-01-01",54,9,1
"400","42 Santa Catarina",42,2001,1,"2001-01-01",1,0,1
"423","43 Rio Grande do Sul",43,2001,1,"2001-01-01",11,3,1
"444","50 Mato Grosso do Sul",50,2001,1,"2001-01-01",276,45,1
"457","51 Mato Grosso",51,2001,1,"2001-01-01",157,32,1
"477","52 Goiás",52,2001,1,"2001-01-01",743,175,1
"507","53 Distrito Federal",53,2001,1,"2001-01-01",400,99,1
"523","11 Rondônia",11,2001,2,"2001-02-01",275,68,2
"545","12 Acre",12,2001,2,"2001-02-01",242,73,2
"569","13 Amazonas",13,2001,2,"2001-02-01",6569,2075,2
"589","14 Roraima",14,2001,2,"2001-02-01",368,81,2
"605","15 Pará",15,2001,2,"2001-02-01",3817,1125,2
"609","16 Amapá",16,2001,2,"2001-02-01",17,5,2
"639","17 Tocantins",17,2001,2,"2001-02-01",697,164,2
"661","21 Maranhão",21,2001,2,"2001-02-01",975,329,2
"679","22 Piauí",22,2001,2,"2001-02-01",952,253,2
"697","23 Ceará",23,2001,2,"2001-02-01",3398,688,2
"720","24 Rio Grande do Norte",24,2001,2,"2001-02-01",3838,892,2
"723","25 Paraíba",25,2001,2,"2001-02-01",291,64,2
"756","26 Pernambuco",26,2001,2,"2001-02-01",1050,260,2
"765","27 Alagoas",27,2001,2,"2001-02-01",190,34,2
"792","28 Sergipe",28,2001,2,"2001-02-01",225,45,2
"808","29 Bahia",29,2001,2,"2001-02-01",3663,1032,2
"825","31 Minas Gerais",31,2001,2,"2001-02-01",4573,974,2
"844","32 Espírito Santo",32,2001,2,"2001-02-01",1197,233,2
"868","33 Rio de Janeiro",33,2001,2,"2001-02-01",6069,1423,2
"881","35 São Paulo",35,2001,2,"2001-02-01",3130,718,2
"897","41 Paraná",41,2001,2,"2001-02-01",271,51,2
"913","42 Santa Catarina",42,2001,2,"2001-02-01",2,0,2
"936","43 Rio Grande do Sul",43,2001,2,"2001-02-01",4,1,2
"957","50 Mato Grosso do Sul",50,2001,2,"2001-02-01",534,121,2
"970","51 Mato Grosso",51,2001,2,"2001-02-01",147,15,2
"990","52 Goiás",52,2001,2,"2001-02-01",1573,337,2
"1020","53 Distrito Federal",53,2001,2,"2001-02-01",220,49,2
"1036","11 Rondônia",11,2001,3,"2001-03-01",173,37,3
"1058","12 Acre",12,2001,3,"2001-03-01",114,55,3
"1082","13 Amazonas",13,2001,3,"2001-03-01",2947,853,3
"1102","14 Roraima",14,2001,3,"2001-03-01",137,36,3
"1118","15 Pará",15,2001,3,"2001-03-01",4030,1254,3
"1122","16 Amapá",16,2001,3,"2001-03-01",89,27,3
"1152","17 Tocantins",17,2001,3,"2001-03-01",579,161,3
"1174","21 Maranhão",21,2001,3,"2001-03-01",1283,379,3
"1192","22 Piauí",22,2001,3,"2001-03-01",1355,332,3
"1210","23 Ceará",23,2001,3,"2001-03-01",4889,1008,3
"1233","24 Rio Grande do Norte",24,2001,3,"2001-03-01",5966,1344,3
"1236","25 Paraíba",25,2001,3,"2001-03-01",705,177,3
"1269","26 Pernambuco",26,2001,3,"2001-03-01",1259,343,3
"1278","27 Alagoas",27,2001,3,"2001-03-01",726,182,3
"1305","28 Sergipe",28,2001,3,"2001-03-01",366,83,3
"1321","29 Bahia",29,2001,3,"2001-03-01",5708,1692,3
"1338","31 Minas Gerais",31,2001,3,"2001-03-01",7842,1727,3
"1357","32 Espírito Santo",32,2001,3,"2001-03-01",1349,310,3
"1381","33 Rio de Janeiro",33,2001,3,"2001-03-01",9231,1975,3
"1394","35 São Paulo",35,2001,3,"2001-03-01",9122,1895,3
"1410","41 Paraná",41,2001,3,"2001-03-01",592,121,3
"1426","42 Santa Catarina",42,2001,3,"2001-03-01",6,0,3
"1449","43 Rio Grande do Sul",43,2001,3,"2001-03-01",4,1,3
"1470","50 Mato Grosso do Sul",50,2001,3,"2001-03-01",1427,333,3
"1483","51 Mato Grosso",51,2001,3,"2001-03-01",168,39,3
"1503","52 Goiás",52,2001,3,"2001-03-01",2329,562,3
"1533","53 Distrito Federal",53,2001,3,"2001-03-01",209,39,3
"1549","11 Rondônia",11,2001,4,"2001-04-01",80,22,4
"1571","12 Acre",12,2001,4,"2001-04-01",78,25,4
"1595","13 Amazonas",13,2001,4,"2001-04-01",1178,300,4
"1615","14 Roraima",14,2001,4,"2001-04-01",88,29,4
"1631","15 Pará",15,2001,4,"2001-04-01",2421,841,4
"1635","16 Amapá",16,2001,4,"2001-04-01",164,39,4
"1665","17 Tocantins",17,2001,4,"2001-04-01",412,122,4
"1687","21 Maranhão",21,2001,4,"2001-04-01",781,233,4
"1705","22 Piauí",22,2001,4,"2001-04-01",1858,492,4
"1723","23 Ceará",23,2001,4,"2001-04-01",4613,1150,4
"1746","24 Rio Grande do Norte",24,2001,4,"2001-04-01",5049,1139,4
"1749","25 Paraíba",25,2001,4,"2001-04-01",2993,827,4
"1782","26 Pernambuco",26,2001,4,"2001-04-01",2062,581,4
"1791","27 Alagoas",27,2001,4,"2001-04-01",300,89,4
"1818","28 Sergipe",28,2001,4,"2001-04-01",504,112,4
"1834","29 Bahia",29,2001,4,"2001-04-01",5428,1480,4
"1851","31 Minas Gerais",31,2001,4,"2001-04-01",8209,1724,4
"1870","32 Espírito Santo",32,2001,4,"2001-04-01",1381,298,4
"1894","33 Rio de Janeiro",33,2001,4,"2001-04-01",16244,3652,4
"1907","35 São Paulo",35,2001,4,"2001-04-01",18888,3727,4
"1923","41 Paraná",41,2001,4,"2001-04-01",401,72,4
"1939","42 Santa Catarina",42,2001,4,"2001-04-01",5,0,4
"1962","43 Rio Grande do Sul",43,2001,4,"2001-04-01",6,1,4
"1983","50 Mato Grosso do Sul",50,2001,4,"2001-04-01",3158,796,4
"1996","51 Mato Grosso",51,2001,4,"2001-04-01",201,51,4
"2016","52 Goiás",52,2001,4,"2001-04-01",1708,366,4
"2046","53 Distrito Federal",53,2001,4,"2001-04-01",190,32,4
"2062","11 Rondônia",11,2001,5,"2001-05-01",109,27,5
"2084","12 Acre",12,2001,5,"2001-05-01",36,13,5
"2108","13 Amazonas",13,2001,5,"2001-05-01",734,209,5
"2128","14 Roraima",14,2001,5,"2001-05-01",116,27,5
"2144","15 Pará",15,2001,5,"2001-05-01",1107,377,5
"2148","16 Amapá",16,2001,5,"2001-05-01",546,142,5
"2178","17 Tocantins",17,2001,5,"2001-05-01",405,93,5
"2200","21 Maranhão",21,2001,5,"2001-05-01",802,298,5
"2218","22 Piauí",22,2001,5,"2001-05-01",1900,584,5
"2236","23 Ceará",23,2001,5,"2001-05-01",6196,1570,5
"2259","24 Rio Grande do Norte",24,2001,5,"2001-05-01",6670,1464,5
"2262","25 Paraíba",25,2001,5,"2001-05-01",4679,1340,5
"2295","26 Pernambuco",26,2001,5,"2001-05-01",2293,633,5
"2304","27 Alagoas",27,2001,5,"2001-05-01",122,30,5
"2331","28 Sergipe",28,2001,5,"2001-05-01",796,197,5
"2347","29 Bahia",29,2001,5,"2001-05-01",4581,1264,5
"2364","31 Minas Gerais",31,2001,5,"2001-05-01",4594,975,5
"2383","32 Espírito Santo",32,2001,5,"2001-05-01",1083,260,5
"2407","33 Rio de Janeiro",33,2001,5,"2001-05-01",13861,3261,5
"2420","35 São Paulo",35,2001,5,"2001-05-01",18001,3444,5
"2436","41 Paraná",41,2001,5,"2001-05-01",143,33,5
"2452","42 Santa Catarina",42,2001,5,"2001-05-01",5,0,5
"2475","43 Rio Grande do Sul",43,2001,5,"2001-05-01",6,0,5
"2496","50 Mato Grosso do Sul",50,2001,5,"2001-05-01",2412,624,5
"2509","51 Mato Grosso",51,2001,5,"2001-05-01",211,42,5
"2529","52 Goiás",52,2001,5,"2001-05-01",1005,216,5
"2559","53 Distrito Federal",53,2001,5,"2001-05-01",173,25,5
"2575","11 Rondônia",11,2001,6,"2001-06-01",51,18,6
"2597","12 Acre",12,2001,6,"2001-06-01",32,7,6
"2621","13 Amazonas",13,2001,6,"2001-06-01",325,81,6
"2641","14 Roraima",14,2001,6,"2001-06-01",103,27,6
"2657","15 Pará",15,2001,6,"2001-06-01",426,118,6
"2661","16 Amapá",16,2001,6,"2001-06-01",417,95,6
"2691","17 Tocantins",17,2001,6,"2001-06-01",193,43,6
"2713","21 Maranhão",21,2001,6,"2001-06-01",422,134,6
"2731","22 Piauí",22,2001,6,"2001-06-01",1546,431,6
"2749","23 Ceará",23,2001,6,"2001-06-01",4371,1056,6
"2772","24 Rio Grande do Norte",24,2001,6,"2001-06-01",4793,1080,6
"2775","25 Paraíba",25,2001,6,"2001-06-01",2125,567,6
"2808","26 Pernambuco",26,2001,6,"2001-06-01",1492,450,6
"2817","27 Alagoas",27,2001,6,"2001-06-01",86,20,6
"2844","28 Sergipe",28,2001,6,"2001-06-01",530,125,6
"2860","29 Bahia",29,2001,6,"2001-06-01",1971,511,6
"2877","31 Minas Gerais",31,2001,6,"2001-06-01",1189,241,6
"2896","32 Espírito Santo",32,2001,6,"2001-06-01",644,138,6
"2920","33 Rio de Janeiro",33,2001,6,"2001-06-01",5951,1418,6
"2933","35 São Paulo",35,2001,6,"2001-06-01",5901,1160,6
"2949","41 Paraná",41,2001,6,"2001-06-01",22,5,6
"2965","42 Santa Catarina",42,2001,6,"2001-06-01",5,1,6
"2988","43 Rio Grande do Sul",43,2001,6,"2001-06-01",5,1,6
"3009","50 Mato Grosso do Sul",50,2001,6,"2001-06-01",238,52,6
"3022","51 Mato Grosso",51,2001,6,"2001-06-01",96,17,6
"3042","52 Goiás",52,2001,6,"2001-06-01",488,105,6
"3072","53 Distrito Federal",53,2001,6,"2001-06-01",92,17,6
"3088","11 Rondônia",11,2001,7,"2001-07-01",26,5,7
"3110","12 Acre",12,2001,7,"2001-07-01",7,3,7
"3134","13 Amazonas",13,2001,7,"2001-07-01",126,21,7
"3154","14 Roraima",14,2001,7,"2001-07-01",160,46,7
"3170","15 Pará",15,2001,7,"2001-07-01",210,54,7
"3174","16 Amapá",16,2001,7,"2001-07-01",461,91,7
"3204","17 Tocantins",17,2001,7,"2001-07-01",73,17,7
"3226","21 Maranhão",21,2001,7,"2001-07-01",239,66,7
"3244","22 Piauí",22,2001,7,"2001-07-01",779,184,7
"3262","23 Ceará",23,2001,7,"2001-07-01",2312,569,7
"3285","24 Rio Grande do Norte",24,2001,7,"2001-07-01",3820,862,7
"3288","25 Paraíba",25,2001,7,"2001-07-01",1378,421,7
"3321","26 Pernambuco",26,2001,7,"2001-07-01",1216,347,7
"3330","27 Alagoas",27,2001,7,"2001-07-01",80,20,7
"3357","28 Sergipe",28,2001,7,"2001-07-01",317,90,7
"3373","29 Bahia",29,2001,7,"2001-07-01",1084,297,7
"3390","31 Minas Gerais",31,2001,7,"2001-07-01",436,90,7
"3409","32 Espírito Santo",32,2001,7,"2001-07-01",440,93,7
"3433","33 Rio de Janeiro",33,2001,7,"2001-07-01",2020,474,7
"3446","35 São Paulo",35,2001,7,"2001-07-01",1005,182,7
"3462","41 Paraná",41,2001,7,"2001-07-01",17,7,7
"3478","42 Santa Catarina",42,2001,7,"2001-07-01",1,0,7
"3501","43 Rio Grande do Sul",43,2001,7,"2001-07-01",4,0,7
"3522","50 Mato Grosso do Sul",50,2001,7,"2001-07-01",57,15,7
"3535","51 Mato Grosso",51,2001,7,"2001-07-01",56,8,7
"3555","52 Goiás",52,2001,7,"2001-07-01",267,61,7
"3585","53 Distrito Federal",53,2001,7,"2001-07-01",76,18,7
"3601","11 Rondônia",11,2001,8,"2001-08-01",20,6,8
"3623","12 Acre",12,2001,8,"2001-08-01",8,2,8
"3647","13 Amazonas",13,2001,8,"2001-08-01",55,14,8
"3667","14 Roraima",14,2001,8,"2001-08-01",257,54,8
"3683","15 Pará",15,2001,8,"2001-08-01",148,48,8
"3687","16 Amapá",16,2001,8,"2001-08-01",731,185,8
"3717","17 Tocantins",17,2001,8,"2001-08-01",60,12,8
"3739","21 Maranhão",21,2001,8,"2001-08-01",164,49,8
"3757","22 Piauí",22,2001,8,"2001-08-01",587,123,8
"3775","23 Ceará",23,2001,8,"2001-08-01",1621,397,8
"3798","24 Rio Grande do Norte",24,2001,8,"2001-08-01",2254,562,8
"3801","25 Paraíba",25,2001,8,"2001-08-01",1022,282,8
"3834","26 Pernambuco",26,2001,8,"2001-08-01",841,257,8
"3843","27 Alagoas",27,2001,8,"2001-08-01",84,24,8
"3870","28 Sergipe",28,2001,8,"2001-08-01",208,58,8
"3886","29 Bahia",29,2001,8,"2001-08-01",638,190,8
"3903","31 Minas Gerais",31,2001,8,"2001-08-01",164,44,8
"3922","32 Espírito Santo",32,2001,8,"2001-08-01",175,39,8
"3946","33 Rio de Janeiro",33,2001,8,"2001-08-01",742,194,8
"3959","35 São Paulo",35,2001,8,"2001-08-01",336,63,8
"3975","41 Paraná",41,2001,8,"2001-08-01",21,3,8
"3991","42 Santa Catarina",42,2001,8,"2001-08-01",0,0,8
"4014","43 Rio Grande do Sul",43,2001,8,"2001-08-01",5,1,8
"4035","50 Mato Grosso do Sul",50,2001,8,"2001-08-01",42,17,8
"4048","51 Mato Grosso",51,2001,8,"2001-08-01",61,20,8
"4068","52 Goiás",52,2001,8,"2001-08-01",146,37,8
"4098","53 Distrito Federal",53,2001,8,"2001-08-01",32,6,8
"4114","11 Rondônia",11,2001,9,"2001-09-01",11,2,9
"4136","12 Acre",12,2001,9,"2001-09-01",8,3,9
"4160","13 Amazonas",13,2001,9,"2001-09-01",51,16,9
"4180","14 Roraima",14,2001,9,"2001-09-01",376,85,9
"4196","15 Pará",15,2001,9,"2001-09-01",251,92,9
"4200","16 Amapá",16,2001,9,"2001-09-01",436,102,9
"4230","17 Tocantins",17,2001,9,"2001-09-01",36,9,9
"4252","21 Maranhão",21,2001,9,"2001-09-01",95,35,9
"4270","22 Piauí",22,2001,9,"2001-09-01",266,74,9
"4288","23 Ceará",23,2001,9,"2001-09-01",1195,322,9
"4311","24 Rio Grande do Norte",24,2001,9,"2001-09-01",1098,286,9
"4314","25 Paraíba",25,2001,9,"2001-09-01",653,203,9
"4347","26 Pernambuco",26,2001,9,"2001-09-01",499,165,9
"4356","27 Alagoas",27,2001,9,"2001-09-01",79,23,9
"4383","28 Sergipe",28,2001,9,"2001-09-01",96,31,9
"4399","29 Bahia",29,2001,9,"2001-09-01",582,193,9
"4416","31 Minas Gerais",31,2001,9,"2001-09-01",196,49,9
"4435","32 Espírito Santo",32,2001,9,"2001-09-01",104,26,9
"4459","33 Rio de Janeiro",33,2001,9,"2001-09-01",414,85,9
"4472","35 São Paulo",35,2001,9,"2001-09-01",194,50,9
"4488","41 Paraná",41,2001,9,"2001-09-01",12,5,9
"4504","42 Santa Catarina",42,2001,9,"2001-09-01",1,0,9
"4527","43 Rio Grande do Sul",43,2001,9,"2001-09-01",1,0,9
"4548","50 Mato Grosso do Sul",50,2001,9,"2001-09-01",41,11,9
"4561","51 Mato Grosso",51,2001,9,"2001-09-01",58,16,9
"4581","52 Goiás",52,2001,9,"2001-09-01",219,81,9
"4611","53 Distrito Federal",53,2001,9,"2001-09-01",21,5,9
"4627","11 Rondônia",11,2001,10,"2001-10-01",32,7,10
"4649","12 Acre",12,2001,10,"2001-10-01",22,7,10
"4673","13 Amazonas",13,2001,10,"2001-10-01",31,4,10
"4693","14 Roraima",14,2001,10,"2001-10-01",636,139,10
"4709","15 Pará",15,2001,10,"2001-10-01",438,139,10
"4713","16 Amapá",16,2001,10,"2001-10-01",234,54,10
"4743","17 Tocantins",17,2001,10,"2001-10-01",101,28,10
"4765","21 Maranhão",21,2001,10,"2001-10-01",125,28,10
"4783","22 Piauí",22,2001,10,"2001-10-01",226,54,10
"4801","23 Ceará",23,2001,10,"2001-10-01",1611,425,10
"4824","24 Rio Grande do Norte",24,2001,10,"2001-10-01",886,223,10
"4827","25 Paraíba",25,2001,10,"2001-10-01",434,127,10
"4860","26 Pernambuco",26,2001,10,"2001-10-01",514,135,10
"4869","27 Alagoas",27,2001,10,"2001-10-01",68,18,10
"4896","28 Sergipe",28,2001,10,"2001-10-01",116,28,10
"4912","29 Bahia",29,2001,10,"2001-10-01",556,153,10
"4929","31 Minas Gerais",31,2001,10,"2001-10-01",216,50,10
"4948","32 Espírito Santo",32,2001,10,"2001-10-01",101,26,10
"4972","33 Rio de Janeiro",33,2001,10,"2001-10-01",621,128,10
"4985","35 São Paulo",35,2001,10,"2001-10-01",179,38,10
"5001","41 Paraná",41,2001,10,"2001-10-01",13,2,10
"5017","42 Santa Catarina",42,2001,10,"2001-10-01",3,0,10
"5040","43 Rio Grande do Sul",43,2001,10,"2001-10-01",2,0,10
"5061","50 Mato Grosso do Sul",50,2001,10,"2001-10-01",95,19,10
"5074","51 Mato Grosso",51,2001,10,"2001-10-01",262,82,10
"5094","52 Goiás",52,2001,10,"2001-10-01",353,83,10
"5124","53 Distrito Federal",53,2001,10,"2001-10-01",32,5,10
"5140","11 Rondônia",11,2001,11,"2001-11-01",104,27,11
"5162","12 Acre",12,2001,11,"2001-11-01",172,52,11
"5186","13 Amazonas",13,2001,11,"2001-11-01",44,12,11
"5206","14 Roraima",14,2001,11,"2001-11-01",465,153,11
"5222","15 Pará",15,2001,11,"2001-11-01",764,232,11
"5226","16 Amapá",16,2001,11,"2001-11-01",85,29,11
"5256","17 Tocantins",17,2001,11,"2001-11-01",584,156,11
"5278","21 Maranhão",21,2001,11,"2001-11-01",131,30,11
"5296","22 Piauí",22,2001,11,"2001-11-01",200,52,11
"5314","23 Ceará",23,2001,11,"2001-11-01",1210,317,11
"5337","24 Rio Grande do Norte",24,2001,11,"2001-11-01",655,132,11
"5340","25 Paraíba",25,2001,11,"2001-11-01",432,121,11
"5373","26 Pernambuco",26,2001,11,"2001-11-01",661,208,11
"5382","27 Alagoas",27,2001,11,"2001-11-01",49,17,11
"5409","28 Sergipe",28,2001,11,"2001-11-01",95,20,11
"5425","29 Bahia",29,2001,11,"2001-11-01",744,202,11
"5442","31 Minas Gerais",31,2001,11,"2001-11-01",731,190,11
"5461","32 Espírito Santo",32,2001,11,"2001-11-01",143,35,11
"5485","33 Rio de Janeiro",33,2001,11,"2001-11-01",843,218,11
"5498","35 São Paulo",35,2001,11,"2001-11-01",155,38,11
"5514","41 Paraná",41,2001,11,"2001-11-01",21,2,11
"5530","42 Santa Catarina",42,2001,11,"2001-11-01",2,1,11
"5553","43 Rio Grande do Sul",43,2001,11,"2001-11-01",2,2,11
"5574","50 Mato Grosso do Sul",50,2001,11,"2001-11-01",321,72,11
"5587","51 Mato Grosso",51,2001,11,"2001-11-01",571,146,11
"5607","52 Goiás",52,2001,11,"2001-11-01",851,226,11
"5637","53 Distrito Federal",53,2001,11,"2001-11-01",40,12,11
"5653","11 Rondônia",11,2001,12,"2001-12-01",117,23,12
"5675","12 Acre",12,2001,12,"2001-12-01",196,45,12
"5699","13 Amazonas",13,2001,12,"2001-12-01",324,75,12
"5719","14 Roraima",14,2001,12,"2001-12-01",442,113,12
"5735","15 Pará",15,2001,12,"2001-12-01",561,154,12
"5739","16 Amapá",16,2001,12,"2001-12-01",10,3,12
"5769","17 Tocantins",17,2001,12,"2001-12-01",587,149,12
"5791","21 Maranhão",21,2001,12,"2001-12-01",216,57,12
"5809","22 Piauí",22,2001,12,"2001-12-01",184,33,12
"5827","23 Ceará",23,2001,12,"2001-12-01",738,185,12
"5850","24 Rio Grande do Norte",24,2001,12,"2001-12-01",468,121,12
"5853","25 Paraíba",25,2001,12,"2001-12-01",195,45,12
"5886","26 Pernambuco",26,2001,12,"2001-12-01",448,142,12
"5895","27 Alagoas",27,2001,12,"2001-12-01",32,16,12
"5922","28 Sergipe",28,2001,12,"2001-12-01",45,11,12
"5938","29 Bahia",29,2001,12,"2001-12-01",907,234,12
"5955","31 Minas Gerais",31,2001,12,"2001-12-01",1169,270,12
"5974","32 Espírito Santo",32,2001,12,"2001-12-01",138,42,12
"5998","33 Rio de Janeiro",33,2001,12,"2001-12-01",2299,552,12
"6011","35 São Paulo",35,2001,12,"2001-12-01",229,43,12
"6027","41 Paraná",41,2001,12,"2001-12-01",16,2,12
"6043","42 Santa Catarina",42,2001,12,"2001-12-01",8,2,12
"6066","43 Rio Grande do Sul",43,2001,12,"2001-12-01",8,1,12
"6087","50 Mato Grosso do Sul",50,2001,12,"2001-12-01",735,170,12
"6100","51 Mato Grosso",51,2001,12,"2001-12-01",381,93,12
"6120","52 Goiás",52,2001,12,"2001-12-01",861,240,12
"6150","53 Distrito Federal",53,2001,12,"2001-12-01",56,7,12
"5","11 Rondônia",11,2002,1,"2002-01-01",210,57,13
"21","12 Acre",12,2002,1,"2002-01-01",78,23,13
"43","13 Amazonas",13,2002,1,"2002-01-01",133,40,13
"74","14 Roraima",14,2002,1,"2002-01-01",342,81,13
"91","15 Pará",15,2002,1,"2002-01-01",2105,585,13
"99","16 Amapá",16,2002,1,"2002-01-01",33,9,13
"124","17 Tocantins",17,2002,1,"2002-01-01",697,179,13
"147","21 Maranhão",21,2002,1,"2002-01-01",770,185,13
"171","22 Piauí",22,2002,1,"2002-01-01",911,235,13
"182","23 Ceará",23,2002,1,"2002-01-01",1679,437,13
"206","24 Rio Grande do Norte",24,2002,1,"2002-01-01",1768,438,13
"226","25 Paraíba",25,2002,1,"2002-01-01",895,233,13
"246","26 Pernambuco",26,2002,1,"2002-01-01",9190,2524,13
"258","27 Alagoas",27,2002,1,"2002-01-01",280,69,13
"280","28 Sergipe",28,2002,1,"2002-01-01",252,59,13
"301","29 Bahia",29,2002,1,"2002-01-01",5148,1289,13
"317","31 Minas Gerais",31,2002,1,"2002-01-01",4708,1106,13
"335","32 Espírito Santo",32,2002,1,"2002-01-01",1785,397,13
"361","33 Rio de Janeiro",33,2002,1,"2002-01-01",48186,12182,13
"371","35 São Paulo",35,2002,1,"2002-01-01",2161,411,13
"389","41 Paraná",41,2002,1,"2002-01-01",210,46,13
"416","42 Santa Catarina",42,2002,1,"2002-01-01",72,13,13
"436","43 Rio Grande do Sul",43,2002,1,"2002-01-01",81,8,13
"452","50 Mato Grosso do Sul",50,2002,1,"2002-01-01",4393,1091,13
"470","51 Mato Grosso",51,2002,1,"2002-01-01",2494,722,13
"485","52 Goiás",52,2002,1,"2002-01-01",3974,1000,13
"509","53 Distrito Federal",53,2002,1,"2002-01-01",642,140,13
"518","11 Rondônia",11,2002,2,"2002-02-01",260,68,14
"534","12 Acre",12,2002,2,"2002-02-01",152,62,14
"556","13 Amazonas",13,2002,2,"2002-02-01",545,119,14
"587","14 Roraima",14,2002,2,"2002-02-01",217,55,14
"604","15 Pará",15,2002,2,"2002-02-01",2537,716,14
"612","16 Amapá",16,2002,2,"2002-02-01",192,64,14
"637","17 Tocantins",17,2002,2,"2002-02-01",439,135,14
"660","21 Maranhão",21,2002,2,"2002-02-01",1875,547,14
"684","22 Piauí",22,2002,2,"2002-02-01",1345,367,14
"695","23 Ceará",23,2002,2,"2002-02-01",3713,928,14
"719","24 Rio Grande do Norte",24,2002,2,"2002-02-01",2989,657,14
"739","25 Paraíba",25,2002,2,"2002-02-01",2322,665,14
"759","26 Pernambuco",26,2002,2,"2002-02-01",33561,9537,14
"771","27 Alagoas",27,2002,2,"2002-02-01",1062,295,14
"793","28 Sergipe",28,2002,2,"2002-02-01",507,113,14
"814","29 Bahia",29,2002,2,"2002-02-01",17772,5062,14
"830","31 Minas Gerais",31,2002,2,"2002-02-01",9680,2309,14
"848","32 Espírito Santo",32,2002,2,"2002-02-01",6530,1574,14
"874","33 Rio de Janeiro",33,2002,2,"2002-02-01",79916,20137,14
"884","35 São Paulo",35,2002,2,"2002-02-01",8651,1734,14
"902","41 Paraná",41,2002,2,"2002-02-01",579,121,14
"929","42 Santa Catarina",42,2002,2,"2002-02-01",104,20,14
"949","43 Rio Grande do Sul",43,2002,2,"2002-02-01",201,37,14
"965","50 Mato Grosso do Sul",50,2002,2,"2002-02-01",4126,1174,14
"983","51 Mato Grosso",51,2002,2,"2002-02-01",2336,684,14
"998","52 Goiás",52,2002,2,"2002-02-01",8372,2559,14
"1022","53 Distrito Federal",53,2002,2,"2002-02-01",1028,268,14
"1031","11 Rondônia",11,2002,3,"2002-03-01",223,69,15
"1047","12 Acre",12,2002,3,"2002-03-01",296,112,15
"1069","13 Amazonas",13,2002,3,"2002-03-01",450,111,15
"1100","14 Roraima",14,2002,3,"2002-03-01",96,29,15
"1117","15 Pará",15,2002,3,"2002-03-01",2693,807,15
"1125","16 Amapá",16,2002,3,"2002-03-01",155,51,15
"1150","17 Tocantins",17,2002,3,"2002-03-01",199,50,15
"1173","21 Maranhão",21,2002,3,"2002-03-01",1788,581,15
"1197","22 Piauí",22,2002,3,"2002-03-01",1475,368,15
"1208","23 Ceará",23,2002,3,"2002-03-01",3854,981,15
"1232","24 Rio Grande do Norte",24,2002,3,"2002-03-01",5480,1303,15
"1252","25 Paraíba",25,2002,3,"2002-03-01",4658,1339,15
"1272","26 Pernambuco",26,2002,3,"2002-03-01",34517,9763,15
"1284","27 Alagoas",27,2002,3,"2002-03-01",2160,598,15
"1306","28 Sergipe",28,2002,3,"2002-03-01",947,229,15
"1327","29 Bahia",29,2002,3,"2002-03-01",27348,8127,15
"1343","31 Minas Gerais",31,2002,3,"2002-03-01",11473,2865,15
"1361","32 Espírito Santo",32,2002,3,"2002-03-01",8812,2342,15
"1387","33 Rio de Janeiro",33,2002,3,"2002-03-01",88105,24187,15
"1397","35 São Paulo",35,2002,3,"2002-03-01",13078,2919,15
"1415","41 Paraná",41,2002,3,"2002-03-01",1731,428,15
"1442","42 Santa Catarina",42,2002,3,"2002-03-01",52,8,15
"1462","43 Rio Grande do Sul",43,2002,3,"2002-03-01",87,11,15
"1478","50 Mato Grosso do Sul",50,2002,3,"2002-03-01",2292,712,15
"1496","51 Mato Grosso",51,2002,3,"2002-03-01",1506,466,15
"1511","52 Goiás",52,2002,3,"2002-03-01",5638,1825,15
"1535","53 Distrito Federal",53,2002,3,"2002-03-01",891,244,15
"1544","11 Rondônia",11,2002,4,"2002-04-01",84,26,16
"1560","12 Acre",12,2002,4,"2002-04-01",67,27,16
"1582","13 Amazonas",13,2002,4,"2002-04-01",253,59,16
"1613","14 Roraima",14,2002,4,"2002-04-01",81,18,16
"1630","15 Pará",15,2002,4,"2002-04-01",1161,388,16
"1638","16 Amapá",16,2002,4,"2002-04-01",74,28,16
"1663","17 Tocantins",17,2002,4,"2002-04-01",135,45,16
