system:index,CD_MUN,LC_Type1,Municipality_Area,.geo
2703700,2703700,0.0,1.0584861887660831E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703759,2703759,389582.446875,3.356207826772988E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703809,2703809,839651.6219362746,2.9940940618686086E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2703908,2703908,0.0,8.91643201275035E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704005,2704005,746945.109375,2.4873726306788E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704104,2704104,1991838.0,8.396371705877496E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704203,2704203,497955.90625,3.104750075057034E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704302,2704302,9.989865231323531E7,5.114175849746986E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704401,2704401,497947.859375,4.4457137259811944E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704500,2704500,0.0,3.355567463480105E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704609,2704609,0.0,3.337441770481801E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704708,2704708,3734668.6875,3.4238087182216763E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704807,2704807,995899.5,1.8084620354032737E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2704906,2704906,0.0,9.211897422969407E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705002,2705002,248962.15625,9.185254599058663E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705101,2705101,2489667.359375,2.3910142079311815E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705200,2705200,392496.44889705884,1.1462796661371651E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705309,2705309,0.0,1.6815299988373193E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705408,2705408,746926.21875,8.696058609318906E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
