"","CD_MUN","Forest_Cover_Percent_2001","Forest_Cover_Percent_2002","Forest_Cover_Percent_2003","Forest_Cover_Percent_2004","Forest_Cover_Percent_2005","Forest_Cover_Percent_2006","Forest_Cover_Percent_2007","Forest_Cover_Percent_2008","Forest_Cover_Percent_2009","Forest_Cover_Percent_2010","Forest_Cover_Percent_2011","Forest_Cover_Percent_2012","Forest_Cover_Percent_2013","Forest_Cover_Percent_2014","Forest_Cover_Percent_2015","Forest_Cover_Percent_2016","Forest_Cover_Percent_2017","Forest_Cover_Percent_2018","Forest_Cover_Percent_2019","Forest_Cover_Percent_2020"
"1",1200013,95.7533012107643,92.7358699456482,90.3597488718457,86.0026863344795,74.2091277355075,71.9958868067937,70.472008795209,66.6556083080741,64.7933822172273,62.3804956996224,61.5127532033345,60.3823245734981,59.227569789101,57.4469193807188,55.8008446026556,52.9004803228034,50.4756925732692,49.0503663022311,47.1892978315469,45.8759313243651
"2",1200054,99.7767936045416,99.5203243832601,99.419948871374,99.0911207546658,98.8447554334511,98.7727925945571,98.6270012122659,98.5391244330326,98.4290092873631,98.2305676309558,98.1240673984758,97.770551503563,97.5566172528579,97.2185905812172,96.9910805594464,96.6484448717732,96.2602733421535,95.7545650246174,95.0977073446378,94.6741937319043
"3",1200104,98.7821808207148,97.6022777088897,96.8981465968236,95.1966783429335,92.0041824713498,91.6588400699594,91.1755345286012,90.7691132164342,90.2489710182369,89.4813940393794,88.7488556545376,87.3089265013057,85.9615962203521,84.3398229259285,83.2182254202657,81.3101245433943,78.866945933982,76.6886098793126,74.5523601804081,72.6793442433687
"4",1200138,98.5661209549107,97.2611070042155,96.515152186171,94.573171395219,89.8130966518478,88.9383229033938,88.1917211514549,87.0323292943634,86.4734609041796,85.5699362645448,84.6462341185886,83.9179082510595,83.2006828344011,82.2655751361385,81.3634555615667,79.7802270711916,78.1420172790071,76.4314063428573,75.1489258696833,73.4978418172791
"5",1200179,97.8500633756655,93.1474727830319,92.2921339919819,90.6781703251663,87.8508473706344,86.4481124246211,85.9455602597161,85.1269731765329,84.5633382714778,83.4974009860328,81.4760013295012,79.946990141112,78.5816719987433,77.3149758339824,76.1064330798105,72.6838005305522,70.5432331471075,68.3328035128708,66.4490862224581,63.8748406578725
"6",1200203,99.6853086955444,99.3783435285415,99.0820616048657,98.7514223188999,97.9387781136856,97.7871199692123,97.4737413845085,97.1198205580543,96.8292792961255,96.6460947469017,96.5188558782495,96.0459436573812,95.7036034764125,95.2546267587076,95.0475067921541,94.4553981189819,93.7854303838583,93.3529766597724,92.8760749339616,92.3539186564266
"7",1200252,98.4942606267666,97.5878757620961,96.2092320069813,95.2140116342517,88.6815933255962,87.9938520624669,87.6036538940472,86.9522623499252,86.3627354570253,85.2696785106582,84.0907843598321,82.5846646934055,80.9965995932568,79.4195654817336,77.8254675754413,75.548160164331,72.604563806063,70.0782830587527,68.6078736262267,66.7914026172317
"8",1200302,99.8728973696713,99.7482783574837,99.6601914761112,99.5677996470333,99.2801299248922,99.1443036437635,98.9821559039765,98.8245871951178,98.6978677199801,98.567790860861,98.4756390106024,98.159782538536,97.9325022107444,97.6806452391044,97.4717830629835,97.1068090307554,96.7175836541951,96.2428855464905,95.7285009983292,95.2177312014324
"9",1200328,99.897948075437,99.774217296899,99.7227171417336,99.6498281140477,99.4730067741434,99.3772616834866,99.2270511475738,99.0091493685047,98.8637990411845,98.8191797413651,98.7579964387415,98.4517245185896,98.2623361578938,98.0426884138057,97.9229319876582,97.7008807899976,97.4199623229004,97.1719591881774,96.8896758913594,96.555236738028
"10",1200336,99.7658566823434,99.5202282195508,99.4064502210801,99.2695652879537,98.8740713041301,98.7327764389274,98.5941030722256,98.4342959439671,98.2261061288583,98.1083066384823,97.875622844038,97.5861678723824,97.3800074476643,97.1317426634231,96.9672133973386,96.6739025089681,96.321006404199,96.0489203795844,95.8065781979634,95.4289413349457
"11",1200344,99.9161464204236,99.816476535933,99.7874096485902,99.6369769836446,99.4063648886994,99.2744402648316,99.2057989064863,99.1107715239357,99.0639276982867,98.9054230169223,98.8272936127901,98.5895403225789,98.3761568722558,98.0963814925407,97.7745220875748,97.3480672089114,97.0355599999442,96.527945944792,95.9861889179613,95.4139636619921
"12",1200351,99.8749569761149,99.7538938733703,99.696276416314,99.5517990009746,99.3643892821336,99.1924387333529,99.0695609370211,98.7796891978366,98.5977907081434,98.5240474733117,98.4608869537376,98.1017162850637,97.9425303222062,97.7396402620612,97.6112320001685,97.3462942167313,97.1092099789333,96.8699187168299,96.5749068349539,96.3206741520666
"13",1200385,96.2151302724556,89.0257852154175,85.4491411164188,81.1904753564929,72.4950977794838,70.5870410138601,70.1150658913753,66.6285244862113,65.5262326572887,63.7267382143028,62.7111178249524,61.6312824607156,60.5231953540897,59.0694499977488,57.6970473721784,54.5978215227836,52.2789546713528,50.0692852481174,48.3379999481034,46.7677801209085
"14",1200393,99.8257519413502,99.7150550529696,99.6001819981878,99.4800992190454,99.273681095248,99.1439107091795,98.9961600858893,98.8388710405987,98.6604662321032,98.5829603659635,98.5338762272122,98.0545364860753,97.8574606647957,97.6210519084456,97.5041337961807,97.2269281094158,96.9460238190633,96.7476124430482,96.5411088403348,96.2853084715066
"15",1200401,98.9671898302552,98.1676056550684,97.8653847561953,96.8038833206468,93.5738399602598,93.0699768045828,92.6536463228202,91.9690800183287,91.5500966203894,91.0153495106583,90.2421499842066,89.7335567742309,89.1797109417543,88.3630405176173,87.6783090871389,86.4218897978666,85.2895154408828,84.1771786622405,83.1322021225818,81.7884306652111
