"","Date","Year","Month","ADM1_PCODE","Pop0_19","cases0_19","pred.mean","pred.median","pred.lci","pred.uci"
"74",2011-01-01,2011,1,"PE17",61776,76,24.288,14,0,106.075
"75",2011-01-01,2011,1,"PE20",738144,1,40.919,20.5,0,207
"76",2011-01-01,2011,1,"PE22",342603,162,204.834,96.5,1,1098.475
"77",2011-01-01,2011,1,"PE24",87342,6,1.937,1,0,9
"78",2011-01-01,2011,1,"PE25",235480,23,194.604,101,1,1030.025
"79",2011-02-01,2011,2,"PE16",446868,3282,426.301,237,3,1838.925
"80",2011-02-01,2011,2,"PE17",61776,96,16.609,10,0,73.025
"81",2011-02-01,2011,2,"PE20",738144,23,67.32,33,0,331.125
"82",2011-02-01,2011,2,"PE22",342603,262,178.991,84,1,825.674999999999
"83",2011-02-01,2011,2,"PE24",87342,7,3.522,2,0,16
"84",2011-02-01,2011,2,"PE25",235480,40,127.408,67,1,583.849999999999
"85",2011-03-01,2011,3,"PE16",446868,1181,465.788,257,2,2071.1
"86",2011-03-01,2011,3,"PE17",61776,61,17.321,10,0,85
"87",2011-03-01,2011,3,"PE20",738144,5,152.504,69,0.975000000000001,808.425
"88",2011-03-01,2011,3,"PE22",342603,121,187.238,94.5,1,939.3
"89",2011-03-01,2011,3,"PE24",87342,14,5.248,3,0,26
"90",2011-03-01,2011,3,"PE25",235480,31,86.717,40.5,0,458
"91",2011-04-01,2011,4,"PE16",446868,341,391.192,233.5,2.975,1578.425
"92",2011-04-01,2011,4,"PE17",61776,34,20.521,12,0,84.025
"93",2011-04-01,2011,4,"PE20",738144,7,289.126,119.5,1,1670.3
"94",2011-04-01,2011,4,"PE22",342603,19,188.028,91.5,1,1001.2
"95",2011-04-01,2011,4,"PE24",87342,3,9.913,5,0,46
"96",2011-04-01,2011,4,"PE25",235480,7,57.849,28,0,286.05
"97",2011-05-01,2011,5,"PE16",446868,109,289.802,154,1,1340.15
"98",2011-05-01,2011,5,"PE17",61776,29,15.946,9,0,66
"99",2011-05-01,2011,5,"PE20",738144,4,246.479,107.5,1,1272.025
"100",2011-05-01,2011,5,"PE22",342603,15,146.927,66,0,800.1
"101",2011-05-01,2011,5,"PE24",87342,4,11.866,6,0,55.025
"102",2011-05-01,2011,5,"PE25",235480,3,46.125,23,0,227.025
"103",2011-06-01,2011,6,"PE16",446868,66,216.803,115.5,1,995.05
"104",2011-06-01,2011,6,"PE17",61776,21,10.434,6,0,46
"105",2011-06-01,2011,6,"PE20",738144,1,160.163,75,0.975000000000001,768.874999999999
"106",2011-06-01,2011,6,"PE22",342603,1,135.3,64,0,684.175
"107",2011-06-01,2011,6,"PE24",87342,5,11.999,7,0,55.025
"108",2011-06-01,2011,6,"PE25",235480,1,36.629,18,0,173.175
"109",2011-07-01,2011,7,"PE16",446868,67,153.227,84,1,760.1
"110",2011-07-01,2011,7,"PE17",61776,30,7.012,4,0,33
"111",2011-07-01,2011,7,"PE20",738144,3,86.071,40,0,471.4
"112",2011-07-01,2011,7,"PE22",342603,5,153.391,63.5,0,788.425
"113",2011-07-01,2011,7,"PE24",87342,0,8.129,4.5,0,35
"114",2011-07-01,2011,7,"PE25",235480,2,38.69,17,0,196.1
"115",2011-08-01,2011,8,"PE16",446868,37,133.096,74,0,588.175
"116",2011-08-01,2011,8,"PE17",61776,16,4.961,3,0,19.025
"117",2011-08-01,2011,8,"PE20",738144,2,50.508,24,0,255.05
"118",2011-08-01,2011,8,"PE22",342603,3,135.902,65,0,605.874999999999
"119",2011-08-01,2011,8,"PE24",87342,0,5.424,3,0,26
"120",2011-08-01,2011,8,"PE25",235480,2,32.948,17,0,171.075
"121",2011-09-01,2011,9,"PE16",446868,33,171.898,94,1,789.25
"122",2011-09-01,2011,9,"PE17",61776,18,7.218,4,0,33
"123",2011-09-01,2011,9,"PE20",738144,0,37.733,18.5,0,209.125
"124",2011-09-01,2011,9,"PE22",342603,4,127.737,58,1,695.2
"125",2011-09-01,2011,9,"PE24",87342,1,4.653,2,0,24.025
"126",2011-09-01,2011,9,"PE25",235480,3,50.982,25,0,246.225
"127",2011-10-01,2011,10,"PE16",446868,45,253.448,143.5,2,1105.35
