"","Date","Year","Month","ADM1_PCODE","PopTotal","cases_total","pred.mean","pred.median","pred.lci","pred.uci"
"72",2010-12-01,2010,12,"PE25",548999,5,152.881,73.5,0,833.15
"73",2011-01-01,2011,1,"PE16",981899,10983,1096.956,561.5,4.975,5181.35
"74",2011-01-01,2011,1,"PE17",161203,419,71.04,38.5,0,342.075
"75",2011-01-01,2011,1,"PE20",1929969,10,138.927,63,0,782.35
"76",2011-01-01,2011,1,"PE22",862467,424,545.608,256,2,2681.325
"77",2011-01-01,2011,1,"PE24",234701,11,6.33,3,0,34
"78",2011-01-01,2011,1,"PE25",548999,58,531.937,290,3,2493.15
"79",2011-02-01,2011,2,"PE16",981899,6362,1149.769,580,4,5304.225
"80",2011-02-01,2011,2,"PE17",161203,483,51.554,28,0,232.075
"81",2011-02-01,2011,2,"PE20",1929969,40,223.03,96,0,1156.45
"82",2011-02-01,2011,2,"PE22",862467,608,480.301,211,3,2393.65
"83",2011-02-01,2011,2,"PE24",234701,17,9.626,5,0,47.025
"84",2011-02-01,2011,2,"PE25",548999,86,399.751,176,2,2118.875
"85",2011-03-01,2011,3,"PE16",981899,2287,1155.715,582,4.975,5779.225
"86",2011-03-01,2011,3,"PE17",161203,317,54.149,29,0,261.35
"87",2011-03-01,2011,3,"PE20",1929969,20,551.974,233,1,3396.725
"88",2011-03-01,2011,3,"PE22",862467,277,542.418,264,3,2540.625
"89",2011-03-01,2011,3,"PE24",234701,29,15.285,8,0,74.05
"90",2011-03-01,2011,3,"PE25",548999,65,273.431,120.5,1,1339.675
"91",2011-04-01,2011,4,"PE16",981899,709,1009.397,562.5,5,4482.95
"92",2011-04-01,2011,4,"PE17",161203,129,58.454,33,0,263.075
"93",2011-04-01,2011,4,"PE20",1929969,26,895.159,367,3,4404.275
"94",2011-04-01,2011,4,"PE22",862467,40,485.138,221,3,2652.4
"95",2011-04-01,2011,4,"PE24",234701,8,28.179,15,0,144.05
"96",2011-04-01,2011,4,"PE25",548999,31,182.92,84,1,919.574999999999
"97",2011-05-01,2011,5,"PE16",981899,236,808.576,461,4,3665.275
"98",2011-05-01,2011,5,"PE17",161203,89,48.435,27,0,223.1
"99",2011-05-01,2011,5,"PE20",1929969,7,950.713,397,4,5415.3
"100",2011-05-01,2011,5,"PE22",862467,21,449.399,219,1,2123.6
"101",2011-05-01,2011,5,"PE24",234701,9,35.391,18,0,170.025
"102",2011-05-01,2011,5,"PE25",548999,14,152.511,68,1,788.3
"103",2011-06-01,2011,6,"PE16",981899,150,586.227,274.5,3.975,2978.925
"104",2011-06-01,2011,6,"PE17",161203,91,28.984,16,0,145
"105",2011-06-01,2011,6,"PE20",1929969,6,515.369,225,2,2821.35
"106",2011-06-01,2011,6,"PE22",862467,5,378.48,187,3,1865.45
"107",2011-06-01,2011,6,"PE24",234701,10,37.363,18,0,170.025
"108",2011-06-01,2011,6,"PE25",548999,4,113.512,54,0,560.275
"109",2011-07-01,2011,7,"PE16",981899,144,440.403,224,3.975,2084.05
"110",2011-07-01,2011,7,"PE17",161203,74,22.678,12,0,105.025
"111",2011-07-01,2011,7,"PE20",1929969,5,270.285,116,1,1339.225
"112",2011-07-01,2011,7,"PE22",862467,13,407.896,164.5,1,2224.325
"113",2011-07-01,2011,7,"PE24",234701,4,24.626,13,0,118.025
"114",2011-07-01,2011,7,"PE25",548999,7,131.061,61,0,640.025
"115",2011-08-01,2011,8,"PE16",981899,91,430.471,201,1,2246.4
"116",2011-08-01,2011,8,"PE17",161203,41,17.312,10,0,83.05
"117",2011-08-01,2011,8,"PE20",1929969,2,172.491,75,0,978.325
"118",2011-08-01,2011,8,"PE22",862467,6,371.625,168.5,1,2001.2
"119",2011-08-01,2011,8,"PE24",234701,2,16.817,8,0,88.025
"120",2011-08-01,2011,8,"PE25",548999,8,115.746,55,0.975000000000001,572.075
"121",2011-09-01,2011,9,"PE16",981899,63,505.733,259,2,2376.4
"122",2011-09-01,2011,9,"PE17",161203,46,20.199,11,0,94.025
"123",2011-09-01,2011,9,"PE20",1929969,3,109.592,49,0,632.05
"124",2011-09-01,2011,9,"PE22",862467,7,331.317,145,1,1635.875
"125",2011-09-01,2011,9,"PE24",234701,2,12.343,6,0,68.025
"126",2011-09-01,2011,9,"PE25",548999,15,152.583,74,0,714.025
"127",2011-10-01,2011,10,"PE16",981899,76,675.401,340,3,2918.85
"128",2011-10-01,2011,10,"PE17",161203,142,38.228,21,0,180.125
"129",2011-10-01,2011,10,"PE20",1929969,26,74.998,38,0,380.025
"130",2011-10-01,2011,10,"PE22",862467,12,354.765,165.5,2,1745.4
"131",2011-10-01,2011,10,"PE24",234701,2,9.141,5,0,47.025
"132",2011-10-01,2011,10,"PE25",548999,35,260.051,122.5,1,1220.125
"133",2011-11-01,2011,11,"PE16",981899,80,1118.826,605.5,5.975,4915
"134",2011-11-01,2011,11,"PE17",161203,98,80.891,47,0,369
"135",2011-11-01,2011,11,"PE20",1929969,35,62.307,30,0,314.225
"136",2011-11-01,2011,11,"PE22",862467,9,510.808,232,3,2527.4
"137",2011-11-01,2011,11,"PE24",234701,9,5.439,3,0,28
"138",2011-11-01,2011,11,"PE25",548999,257,413.82,189,3,2097.1
"139",2011-12-01,2011,12,"PE16",981899,64,1552.94,762,11.975,7064.125
