,CD_UF,CNN_all,CNN_0-19
0,11.0,1.0,1.0
1,11.0,1.0,1.0
2,11.0,1.0,1.0
3,11.0,1.0,1.0
4,11.0,32.15985870361328,17.186546325683594
5,11.0,15.016560554504395,9.883176803588867
6,11.0,0.13402608036994934,0.31510215997695923
7,11.0,0.0,0.0
8,11.0,0.0,0.0
9,11.0,12.960514068603516,9.23936939239502
10,11.0,20.125268936157227,18.969724655151367
11,11.0,23.5783634185791,23.289260864257812
12,11.0,48.480201721191406,45.45939254760742
13,11.0,10.865544319152832,22.26607894897461
14,11.0,22.599327087402344,5.590546607971191
15,11.0,7.424200057983398,20.643205642700195
16,11.0,3.684629440307617,12.370440483093262
17,11.0,0.0,1.6806870698928833
18,11.0,0.0,0.0
19,11.0,0.0,4.823822975158691
20,11.0,13.854039192199707,10.93973159790039
21,11.0,28.624088287353516,24.81930160522461
22,11.0,49.4376220703125,33.832149505615234
23,11.0,72.10977935791016,54.100223541259766
24,11.0,47.95615005493164,61.329559326171875
25,11.0,165.4442901611328,99.84333801269531
26,11.0,81.28675842285156,58.07392501831055
27,11.0,0.0,0.0
28,11.0,0.0,6.472111701965332
29,11.0,0.0,0.0
30,11.0,0.0,0.0
31,11.0,12.785649299621582,10.85094928741455
32,11.0,7.885495662689209,11.058089256286621
33,11.0,11.894454956054688,9.195367813110352
34,11.0,22.770633697509766,18.495635986328125
35,11.0,41.58464813232422,36.81727600097656
36,11.0,37.64973449707031,42.171085357666016
37,11.0,5.6697587966918945,26.583871841430664
38,11.0,11.181715965270996,17.220937728881836
39,11.0,26.713518142700195,25.257190704345703
40,11.0,20.530855178833008,21.49196434020996
41,11.0,14.93975830078125,20.090532302856445
42,11.0,2.564326524734497,6.065999984741211
43,11.0,4.88106107711792,7.192172527313232
44,11.0,13.940086364746094,13.707545280456543
45,11.0,21.6329288482666,15.391375541687012
46,11.0,36.17594528198242,47.111392974853516
47,11.0,96.58761596679688,90.11576080322266
48,11.0,73.6175308227539,63.6380615234375
49,11.0,137.36744689941406,99.75720977783203
50,11.0,38.49081802368164,22.765209197998047
51,11.0,30.889469146728516,30.98394012451172
52,11.0,13.310715675354004,10.511011123657227
53,11.0,0.0,2.473133087158203
54,11.0,14.066895484924316,14.635977745056152
55,11.0,11.285221099853516,12.20032024383545
56,11.0,21.0389404296875,13.036724090576172
57,11.0,41.00216293334961,30.88298225402832
58,11.0,51.684242248535156,51.30812072753906
59,11.0,72.40611267089844,65.88309478759766
60,11.0,38.04750442504883,34.772457122802734
61,11.0,126.59296417236328,96.59891510009766
62,11.0,26.69133758544922,36.2369499206543
63,11.0,54.28677749633789,20.79212188720703
64,11.0,15.368878364562988,22.948625564575195
65,11.0,16.645832061767578,21.28184700012207
66,11.0,0.0,0.0
67,11.0,0.0,0.0
68,11.0,0.0,0.7453058362007141
69,11.0,8.760915756225586,7.919495582580566
70,11.0,31.24482536315918,18.084230422973633
71,11.0,97.78231811523438,68.56356811523438
72,11.0,79.57545471191406,53.89909362792969
73,11.0,0.0,26.592296600341797
74,11.0,43.65353012084961,26.81749153137207
75,11.0,17.296741485595703,19.704769134521484
76,11.0,6.871575832366943,33.403228759765625
77,11.0,24.146989822387695,22.076435089111328
78,11.0,7.749009132385254,4.400845527648926
79,11.0,13.368192672729492,10.837742805480957
80,11.0,30.410320281982422,26.399526596069336
81,11.0,23.635852813720703,11.59786319732666
82,11.0,38.61454391479492,30.522720336914062
83,11.0,70.55196380615234,66.87614440917969
84,11.0,85.8316650390625,74.27312469482422
85,11.0,43.32698059082031,52.85477828979492
86,11.0,60.8596076965332,59.92450714111328
87,11.0,73.3160171508789,26.009342193603516
88,11.0,28.714088439941406,13.68054485321045
89,11.0,4.588191032409668,6.510715484619141
90,11.0,15.438057899475098,3.2184038162231445
91,11.0,15.25064468383789,0.0
92,11.0,29.897451400756836,16.657625198364258
93,11.0,42.62209701538086,29.416385650634766
94,11.0,59.200836181640625,33.618492126464844
95,11.0,68.53422546386719,61.88553237915039
96,11.0,58.695274353027344,51.19514465332031
97,11.0,99.40620422363281,71.81082153320312
98,11.0,55.69579315185547,38.8682746887207
99,11.0,62.13314437866211,57.61775207519531
100,11.0,1.6810940504074097,15.936718940734863
101,11.0,68.37601470947266,57.797306060791016
102,11.0,29.30225372314453,19.229143142700195
103,11.0,57.40938949584961,42.57592010498047
104,11.0,86.74349212646484,57.021331787109375
105,11.0,139.12301635742188,100.77041625976562
106,11.0,296.3788146972656,211.49070739746094
107,11.0,559.0667114257812,385.1864013671875
108,11.0,435.3406677246094,292.3253479003906
109,11.0,58.78642654418945,63.137516021728516
110,11.0,74.92001342773438,37.32169723510742
111,11.0,0.0,7.64858865737915
112,11.0,0.0,23.70425033569336
113,11.0,1.5622894763946533,0.0
114,11.0,20.961179733276367,16.251449584960938
115,11.0,25.84749412536621,14.42367935180664
116,11.0,15.071590423583984,7.055448532104492
117,11.0,24.09491539001465,33.01234436035156
118,11.0,39.218162536621094,46.21164321899414
119,11.0,91.42664337158203,35.91526412963867
120,11.0,175.23814392089844,106.54271697998047
121,11.0,56.37820816040039,26.310956954956055
122,11.0,43.62177276611328,39.541873931884766
123,11.0,84.46202087402344,49.17753982543945
124,11.0,0.0,10.665910720825195
125,11.0,6.935834884643555,4.662217617034912
126,11.0,1.0059999227523804,1.1110374927520752
127,11.0,0.0,1.8438307046890259
