,Year,dep_id,t_fundc_ocup18m,t_medioc_ocup18m,PopTotal_Urban_UF,PopTotal_Rural_UF,total_precipitation_d,surface_pressure_d,area_km2,humidity_d,temperature_2m_d,min_temperature_2m_d,Month,cases20_99,cases0_19,RandEffects1,RandEffects2,RandEffects3,PCA0-Climatic,PCA1-Climatic,PCA2-Climatic,PCA3-Climatic,PCA0-Geo,PCA1-Geo,PCA2-Geo,PCA3-Geo,PCA4-Geo,PCA5-Geo,PCA0-Socio,PCA1-Socio,PCA2-Socio,PCA3-Socio,PCA4-Socio,PCA5-Socio,DengRate_all,DengRate_019
0,2010,0,0.0,0.0,0.38522892394623337,0.7563302447543649,0.18434761400761293,0.943278202931344,1.0000000000000002,0.7344202144973213,0.8779660839557692,0.9114571698827199,0.0,0.0070408761979268535,0.00870307167235495,0.0,0.0,0.0,0.926285743668402,0.2645575289352838,0.41884348847918684,0.7888610027917782,5.6147579323095886e-05,0.22583960168178072,0.4599732545186094,0.3483323374897153,0.7530603018062205,0.7718979647866433,0.5347413948827695,0.7923377282835187,0.0,0.18980477529831535,0.06537429406167738,0.37946764356894425,0.00834786746077184,0.005516706133846502
1,2010,0,0.0,0.0,0.38522892394623337,0.7563302447543649,0.2697522055964816,0.9378667069207527,1.0000000000000002,0.8952468962568987,0.8890364096459464,1.0,0.09090909090909091,0.006258556620379425,0.006484641638225256,0.0,0.0,0.0,0.9641139679529812,0.37703907472468245,0.30063289675051424,0.8664093227191025,1.667081044715024e-05,0.17786328400599444,0.47788704460021036,0.2918606847860311,0.7161447321646994,0.7834372333011627,0.5347413948827695,0.7923377282835187,0.0,0.18980477529831535,0.06537429406167738,0.37946764356894425,0.007035309683920922,0.004110486923258178
2,2010,0,0.0,0.0,0.38522892394623337,0.7563302447543649,0.3329244666271168,0.9467682230143737,1.0000000000000002,0.8810174654147684,0.8933068105855995,0.9905348177891895,0.1818181818181818,0.0034552448008344744,0.005290102389078498,0.0,0.0,0.0,0.9646877438594379,0.3872307779412576,0.3150701463714032,0.8781672153239769,2.9658948925592732e-05,0.1936478346518784,0.47199327991585915,0.3104402612383514,0.7282902178304811,0.7796407316706131,0.5347413948827695,0.7923377282835187,0.0,0.18980477529831535,0.06537429406167738,0.37946764356894425,0.004410194130219085,0.0033532919637106187
3,2010,0,0.0,0.0,0.38522892394623337,0.7563302447543649,0.3373262940293501,0.9567636445092749,1.0000000000000002,0.8946381720682153,0.8276548548103477,0.949208052026588,0.2727272727272727,0.0035204380989634267,0.004266211604095563,0.0,0.0,0.0,0.8978353143588153,0.40958709259300596,0.2538311012925942,0.8848323872904387,4.496907901108127e-05,0.2122543134888041,0.465045840591839,0.33234145461500825,0.7426070474364906,0.7751654996017423,0.5347413948827695,0.7923377282835187,0.0,0.18980477529831535,0.06537429406167738,0.37946764356894425,0.004147682574848901,0.002704267712669854
4,2010,0,0.0,0.0,0.38522892394623337,0.7563302447543649,0.2867073036163371,0.96615692844167,1.0000000000000002,0.8720491897258005,0.751077586858365,0.7624063586853396,0.36363636363636365,0.005411043744703045,0.003924914675767918,0.0,0.0,0.0,0.8206430639456794,0.43723501542973564,0.1976909219951659,0.8203794593840049,3.8391114790869985e-05,0.20426008016944386,0.4680307928450345,0.32293165433200366,0.7364558526152101,0.7770882733640642,0.5347413948827695,0.7923377282835187,0.0,0.18980477529831535,0.06537429406167738,0.37946764356894425,0.0055652449738478925,0.0024879262956562656
5,2010,0,0.0,0.0,0.38522892394623337,0.7563302447543649,0.19543212039510116,0.9853451819582091,1.0000000000000002,0.9409660161790243,0.6747092523427654,0.8122739692649787,0.4545454545454545,0.002607731925158094,0.003924914675767918,0.0,0.0,0.0,0.7803076792722722,0.4684207634442346,0.10555096833369296,0.7366056469587402,4.386039450066104e-05,0.21090692357337054,0.4655489400640881,0.3307554776362204,0.7415702928736749,0.7754895739530299,0.5347413948827695,0.7923377282835187,0.0,0.18980477529831535,0.06537429406167738,0.37946764356894425,0.0033076455976643136,0.0024879262956562656
6,2010,0,0.0,0.0,0.38522892394623337,0.7563302447543649,0.1239563464797353,0.9817458389831781,1.0000000000000002,0.8661108604354095,0.6379358625850671,0.6005895654916458,0.5454545454545454,0.003781211291479236,0.0034129692832764505,0.0,0.0,0.0,0.7541531707018119,0.433821442707399,0.1731181870379036,0.6797687857656214,0.0001171965047975232,0.3000326708139823,0.4322704392478417,0.4356630338838807,0.8101484557778685,0.754053040705176,0.5347413948827695,0.7923377282835187,0.0,0.18980477529831535,0.06537429406167738,0.37946764356894425,0.004095180263774864,0.0021634141701358826
7,2010,0,0.0,0.0,0.38522892394623337,0.7563302447543649,0.07824698570435691,0.9772757471762858,1.0000000000000002,0.7597156760518677,0.7629917811264377,0.7708188557310613,0.6363636363636364,0.002738118521415999,0.0030716723549488057,0.0,0.0,0.0,0.8433828123453542,0.5102636304508479,0.2852085329692975,0.6633867270343126,0.00021506291348843964,0.418970214256384,0.3878605660173287,0.5756612657635761,0.901665424579236,0.7254461713844851,0.5347413948827695,0.7923377282835187,0.0,0.18980477529831535,0.06537429406167738,0.37946764356894425,0.0031501386644422033,0.0019470727531222948
8,2010,0,0.0,0.0,0.38522892394623337,0.7563302447543649,0.12070100922926442,0.9554347945027413,1.0000000000000002,0.8023025694356392,0.8651392816044066,0.8851094822854044,0.7272727272727273,0.0016298324532238086,0.0017064846416382253,0.0,0.0,0.0,0.9383392432771731,0.4361161409571255,0.33201606180521065,0.7476147883288405,0.00019490603889643632,0.3944734622091884,0.39700736375241147,0.5468267878170603,0.8828163006781381,0.7313381325290741,0.5347413948827695,0.7923377282835187,0.0,0.18980477529831535,0.06537429406167738,0.37946764356894425,0.0018375808875912853,0.0010817070850679413
9,2010,0,0.0,0.0,0.38522892394623337,0.7563302447543649,0.19770523428217288,0.9477082829191463,1.0000000000000002,0.8017402914088345,0.8670517415215002,0.9016594889557901,0.8181818181818182,0.00221657213638438,0.002559726962457338,0.0,0.0,0.0,0.9576738652541957,0.39669970286372985,0.38133777186135653,0.758295209572573,0.0001175556450175308,0.3004691357470538,0.43210746839956066,0.4361767851951905,0.8104842954673955,0.7539480621177422,0.5347413948827695,0.7923377282835187,0.0,0.18980477529831535,0.06537429406167738,0.37946764356894425,0.0025726132426277994,0.0016225606276019122
